
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
000: 1 0.86
001: 1 0.17
002: 1 0.17
003: 1 0.17
004: 1 0.17
005: 1 0.17
006: 1 0.16
007: 1 0.18
008: 1 0.17
009: 1 0.17
010: 1 0.17
011: 1 0.16
012: 1 0.18
013: 1 0.18
014: 1 0.18
015: 1 0.17
016: 1 0.17
017: 1 0.17
018: 1 0.17
019: 1 0.18
020: 1 0.17
021: 1 0.17
1                       0.20
000: 2 0.88
001: 2 0.19
002: 2 0.19
003: 2 0.19
004: 2 0.19
005: 2 0.18
006: 2 0.19
007: 2 0.19
008: 2 0.19
009: 2 0.19
010: 2 0.18
011: 2 0.18
012: 2 0.20
013: 2 0.19
014: 2 0.19
015: 2 0.20
016: 2 0.19
017: 2 0.19
018: 2 0.19
019: 2 0.19
020: 2 0.19
021: 2 0.19
2                       0.22
000: 4 0.89
001: 4 0.21
002: 4 0.20
003: 4 0.20
004: 4 0.18
005: 4 0.18
006: 4 0.19
007: 4 0.19
008: 4 0.19
009: 4 0.19
010: 4 0.19
011: 4 0.19
012: 4 0.20
013: 4 0.19
014: 4 0.19
015: 4 0.19
016: 4 0.19
017: 4 0.18
018: 4 0.21
019: 4 0.19
020: 4 0.19
021: 4 0.19
4                       0.22
000: 8 0.89
001: 8 0.19
002: 8 0.19
003: 8 0.19
004: 8 0.18
005: 8 0.18
006: 8 0.18
007: 8 0.18
008: 8 0.19
009: 8 0.18
010: 8 0.18
011: 8 0.18
012: 8 0.19
013: 8 0.19
014: 8 0.18
015: 8 0.18
016: 8 0.18
017: 8 0.18
018: 8 0.20
019: 8 0.18
020: 8 0.18
021: 8 0.19
8                       0.22
000: 16 0.89
001: 16 0.18
002: 16 0.18
003: 16 0.18
004: 16 0.19
005: 16 0.17
006: 16 0.17
007: 16 0.18
008: 16 0.19
009: 16 0.18
010: 16 0.17
011: 16 0.17
012: 16 0.19
013: 16 0.19
014: 16 0.18
015: 16 0.18
016: 16 0.18
017: 16 0.17
018: 16 0.18
019: 16 0.18
020: 16 0.18
021: 16 0.18
16                      0.21
000: 32 0.88
001: 32 0.18
002: 32 0.18
003: 32 0.18
004: 32 0.17
005: 32 0.17
006: 32 0.17
007: 32 0.18
008: 32 0.17
009: 32 0.18
010: 32 0.17
011: 32 0.17
012: 32 0.19
013: 32 0.18
014: 32 0.18
015: 32 0.17
016: 32 0.18
017: 32 0.18
018: 32 0.18
019: 32 0.18
020: 32 0.18
021: 32 0.18
32                      0.21
000: 64 0.88
001: 64 0.18
002: 64 0.19
003: 64 0.18
004: 64 0.18
005: 64 0.18
006: 64 0.18
007: 64 0.18
008: 64 0.18
009: 64 0.18
010: 64 0.18
011: 64 0.18
012: 64 0.19
013: 64 0.18
014: 64 0.18
015: 64 0.18
016: 64 0.18
017: 64 0.18
018: 64 0.18
019: 64 0.18
020: 64 0.18
021: 64 0.18
64                      0.21
000: 128 0.91
001: 128 0.22
002: 128 0.21
003: 128 0.22
004: 128 0.22
005: 128 0.21
006: 128 0.21
007: 128 0.21
008: 128 0.21
009: 128 0.21
010: 128 0.21
011: 128 0.21
