
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
000: 1 2.37
001: 1 0.82
002: 1 0.83
003: 1 0.86
004: 1 0.84
005: 1 0.85
006: 1 0.84
007: 1 0.84
008: 1 0.86
009: 1 0.83
010: 1 0.84
011: 1 0.85
012: 1 0.85
013: 1 0.83
014: 1 0.84
015: 1 0.83
016: 1 0.84
017: 1 0.84
018: 1 0.81
019: 1 0.84
020: 1 0.82
021: 1 0.85
022: 1 0.84
023: 1 0.86
024: 1 0.41
025: 1 0.41
026: 1 0.40
027: 1 0.40
028: 1 0.41
029: 1 0.41
030: 1 0.41
031: 1 0.40
032: 1 0.39
033: 1 0.40
034: 1 0.41
035: 1 0.41
036: 1 0.41
037: 1 0.40
038: 1 0.41
039: 1 0.41
040: 1 0.41
041: 1 0.41
042: 1 0.39
043: 1 0.40
044: 1 0.40
045: 1 0.41
046: 1 0.41
1                       0.66
000: 2 2.38
001: 2 0.88
002: 2 0.87
003: 2 0.86
004: 2 0.88
005: 2 0.89
006: 2 0.88
007: 2 0.89
008: 2 0.89
009: 2 0.89
010: 2 0.86
011: 2 0.87
012: 2 0.86
013: 2 0.86
014: 2 0.88
015: 2 0.87
016: 2 0.88
017: 2 0.87
018: 2 0.88
019: 2 0.87
020: 2 0.90
021: 2 0.89
022: 2 0.89
023: 2 0.88
024: 2 0.42
025: 2 0.41
026: 2 0.42
027: 2 0.41
028: 2 0.42
029: 2 0.41
030: 2 0.41
031: 2 0.40
032: 2 0.40
033: 2 0.41
034: 2 0.43
035: 2 0.41
036: 2 0.41
037: 2 0.41
038: 2 0.41
039: 2 0.41
040: 2 0.41
041: 2 0.42
042: 2 0.40
043: 2 0.40
044: 2 0.41
045: 2 0.42
046: 2 0.41
2                       0.68
000: 4 2.40
001: 4 0.93
002: 4 0.92
003: 4 0.92
004: 4 0.93
005: 4 0.93
006: 4 0.92
007: 4 0.93
008: 4 0.91
009: 4 0.94
010: 4 0.91
011: 4 0.92
012: 4 0.92
013: 4 0.93
014: 4 0.92
015: 4 0.91
016: 4 0.93
017: 4 0.92
018: 4 0.93
019: 4 0.94
020: 4 0.91
021: 4 0.92
022: 4 0.93
023: 4 0.92
024: 4 0.43
025: 4 0.43
026: 4 0.43
027: 4 0.42
028: 4 0.43
029: 4 0.43
030: 4 0.44
031: 4 0.43
032: 4 0.41
033: 4 0.43
034: 4 0.44
035: 4 0.43
036: 4 0.43
037: 4 0.42
038: 4 0.43
039: 4 0.43
040: 4 0.43
041: 4 0.44
042: 4 0.42
043: 4 0.42
044: 4 0.43
045: 4 0.42
046: 4 0.45
4                       0.71
000: 8 2.41
001: 8 0.91
002: 8 0.91
003: 8 0.92
004: 8 0.91
005: 8 0.92
006: 8 0.93
007: 8 0.93
008: 8 0.90
009: 8 0.92
010: 8 0.92
011: 8 0.92
012: 8 0.92
013: 8 0.90
014: 8 0.92
015: 8 0.92
016: 8 0.91
017: 8 0.93
018: 8 0.92
019: 8 0.92
020: 8 0.93
021: 8 0.93
022: 8 0.90
023: 8 0.90
024: 8 0.47
025: 8 0.45
026: 8 0.47
027: 8 0.44
028: 8 0.45
029: 8 0.46
030: 8 0.48
031: 8 0.44
032: 8 0.43
033: 8 0.46
034: 8 0.44
035: 8 0.47
036: 8 0.45
037: 8 0.45
038: 8 0.45
039: 8 0.46
040: 8 0.46
041: 8 0.47
042: 8 0.45
043: 8 0.44
044: 8 0.46
045: 8 0.45
046: 8 0.46
8                       0.72
000: 16 2.41
001: 16 0.91
002: 16 0.92
003: 16 0.93
004: 16 0.95
005: 16 0.90
006: 16 0.93
007: 16 0.92
008: 16 0.91
009: 16 0.90
010: 16 0.91
011: 16 0.92
012: 16 0.92
013: 16 0.91
014: 16 0.91
015: 16 0.91
016: 16 0.93
017: 16 0.93
018: 16 0.92
019: 16 0.95
020: 16 0.92
021: 16 0.91
022: 16 0.93
023: 16 0.93
024: 16 0.45
025: 16 0.45
026: 16 0.45
027: 16 0.45
028: 16 0.44
029: 16 0.46
030: 16 0.46
031: 16 0.45
032: 16 0.46
033: 16 0.45
034: 16 0.45
035: 16 0.45
036: 16 0.46
037: 16 0.45
038: 16 0.43
039: 16 0.45
040: 16 0.45
041: 16 0.46
042: 16 0.44
