
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
000: 1 1.73
001: 1 0.39
002: 1 0.40
003: 1 0.39
004: 1 0.40
005: 1 0.40
006: 1 0.40
007: 1 0.41
008: 1 0.40
009: 1 0.40
010: 1 0.39
011: 1 0.41
012: 1 0.40
013: 1 0.40
014: 1 0.41
015: 1 0.41
016: 1 0.40
017: 1 0.40
018: 1 0.40
019: 1 0.40
020: 1 0.40
021: 1 0.40
022: 1 0.41
023: 1 0.40
024: 1 0.41
025: 1 0.40
026: 1 0.41
027: 1 0.41
028: 1 0.41
029: 1 0.41
030: 1 0.41
031: 1 0.41
032: 1 0.41
033: 1 0.41
034: 1 0.41
035: 1 0.41
036: 1 0.41
037: 1 0.41
038: 1 0.41
039: 1 0.41
040: 1 0.41
041: 1 0.41
042: 1 0.41
043: 1 0.41
044: 1 0.41
045: 1 0.41
1                       0.43
000: 2 1.73
001: 2 0.41
002: 2 0.42
003: 2 0.41
004: 2 0.42
005: 2 0.41
006: 2 0.42
007: 2 0.41
008: 2 0.41
009: 2 0.41
010: 2 0.41
011: 2 0.41
012: 2 0.42
013: 2 0.41
014: 2 0.42
015: 2 0.42
016: 2 0.42
017: 2 0.42
018: 2 0.42
019: 2 0.41
020: 2 0.42
021: 2 0.42
022: 2 0.42
023: 2 0.42
024: 2 0.40
025: 2 0.40
026: 2 0.41
027: 2 0.41
028: 2 0.41
029: 2 0.40
030: 2 0.41
031: 2 0.40
032: 2 0.41
033: 2 0.41
034: 2 0.41
035: 2 0.41
036: 2 0.41
037: 2 0.41
038: 2 0.40
039: 2 0.41
040: 2 0.41
041: 2 0.41
042: 2 0.41
043: 2 0.41
044: 2 0.41
045: 2 0.41
2                       0.44
000: 4 1.72
001: 4 0.41
002: 4 0.42
003: 4 0.41
004: 4 0.42
005: 4 0.41
006: 4 0.42
007: 4 0.41
008: 4 0.41
009: 4 0.42
010: 4 0.41
011: 4 0.42
012: 4 0.42
013: 4 0.42
014: 4 0.42
015: 4 0.41
016: 4 0.42
017: 4 0.42
018: 4 0.43
019: 4 0.42
020: 4 0.42
021: 4 0.42
022: 4 0.42
023: 4 0.42
024: 4 0.41
025: 4 0.41
026: 4 0.41
027: 4 0.41
028: 4 0.41
029: 4 0.41
030: 4 0.41
031: 4 0.41
032: 4 0.41
033: 4 0.41
034: 4 0.41
035: 4 0.41
036: 4 0.41
037: 4 0.41
038: 4 0.41
039: 4 0.41
040: 4 0.41
041: 4 0.41
042: 4 0.42
043: 4 0.41
044: 4 0.41
045: 4 0.42
4                       0.44
000: 8 1.75
001: 8 0.41
002: 8 0.41
003: 8 0.41
004: 8 0.41
005: 8 0.41
006: 8 0.41
007: 8 0.41
008: 8 0.40
009: 8 0.41
010: 8 0.41
011: 8 0.41
012: 8 0.42
013: 8 0.42
014: 8 0.41
015: 8 0.41
016: 8 0.41
017: 8 0.41
018: 8 0.41
019: 8 0.41
020: 8 0.42
021: 8 0.42
022: 8 0.42
023: 8 0.42
024: 8 0.40
025: 8 0.40
026: 8 0.41
027: 8 0.41
028: 8 0.41
029: 8 0.40
030: 8 0.41
031: 8 0.40
032: 8 0.40
033: 8 0.41
034: 8 0.40
035: 8 0.41
036: 8 0.41
037: 8 0.41
038: 8 0.41
039: 8 0.41
040: 8 0.41
041: 8 0.41
042: 8 0.41
043: 8 0.41
044: 8 0.41
045: 8 0.41
8                       0.44
000: 16 1.72
001: 16 0.42
002: 16 0.42
003: 16 0.42
004: 16 0.43
005: 16 0.42
006: 16 0.42
007: 16 0.43
008: 16 0.43
009: 16 0.42
010: 16 0.42
011: 16 0.41
012: 16 0.42
013: 16 0.42
014: 16 0.43
015: 16 0.42
016: 16 0.42
017: 16 0.43
018: 16 0.43
019: 16 0.43
020: 16 0.42
021: 16 0.43
022: 16 0.43
023: 16 0.43
024: 16 0.40
025: 16 0.40
026: 16 0.41
027: 16 0.40
028: 16 0.41
029: 16 0.41
030: 16 0.41
031: 16 0.41
032: 16 0.40
033: 16 0.41
034: 16 0.41
035: 16 0.41
036: 16 0.41
037: 16 0.41
