
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
000: 1 1.59
001: 1 0.65
002: 1 0.66
003: 1 0.62
004: 1 0.63
005: 1 0.65
006: 1 0.65
007: 1 0.65
008: 1 0.66
009: 1 0.67
010: 1 0.69
011: 1 0.71
012: 1 0.42
013: 1 0.42
014: 1 0.41
015: 1 0.42
016: 1 0.42
017: 1 0.42
018: 1 0.42
019: 1 0.41
020: 1 0.41
1                       0.60
000: 2 1.55
001: 2 0.65
002: 2 0.63
003: 2 0.62
004: 2 0.63
005: 2 0.61
006: 2 0.63
007: 2 0.63
008: 2 0.63
009: 2 0.61
010: 2 0.62
011: 2 0.64
012: 2 0.42
013: 2 0.42
014: 2 0.42
015: 2 0.41
016: 2 0.42
017: 2 0.42
018: 2 0.41
019: 2 0.41
020: 2 0.42
2                       0.58
000: 4 1.55
001: 4 0.62
002: 4 0.63
003: 4 0.63
004: 4 0.61
005: 4 0.62
006: 4 0.63
007: 4 0.60
008: 4 0.60
009: 4 0.60
010: 4 0.60
011: 4 0.64
012: 4 0.41
013: 4 0.41
014: 4 0.41
015: 4 0.41
016: 4 0.41
017: 4 0.41
018: 4 0.41
019: 4 0.41
020: 4 0.41
4                       0.57
000: 8 1.57
001: 8 0.63
002: 8 0.62
003: 8 0.62
004: 8 0.62
005: 8 0.62
006: 8 0.65
007: 8 0.65
008: 8 0.62
009: 8 0.63
010: 8 0.63
011: 8 0.63
012: 8 0.44
013: 8 0.43
014: 8 0.43
015: 8 0.43
016: 8 0.42
017: 8 0.43
018: 8 0.44
019: 8 0.43
020: 8 0.43
8                       0.59
000: 16 1.54
001: 16 0.65
002: 16 0.61
003: 16 0.62
004: 16 0.61
005: 16 0.61
006: 16 0.62
007: 16 0.59
008: 16 0.61
009: 16 0.61
010: 16 0.61
011: 16 0.62
012: 16 0.41
013: 16 0.41
014: 16 0.41
015: 16 0.41
016: 16 0.41
017: 16 0.41
018: 16 0.41
019: 16 0.41
020: 16 0.41
16                      0.57
000: 32 1.57
001: 32 0.62
002: 32 0.59
003: 32 0.61
004: 32 0.60
005: 32 0.63
006: 32 0.63
007: 32 0.61
008: 32 0.62
009: 32 0.62
010: 32 0.63
011: 32 0.61
012: 32 0.41
013: 32 0.41
014: 32 0.41
015: 32 0.40
016: 32 0.41
017: 32 0.41
018: 32 0.41
019: 32 0.41
020: 32 0.41
32                      0.57
000: 64 1.59
001: 64 0.66
002: 64 0.65
003: 64 0.66
004: 64 0.64
005: 64 0.66
006: 64 0.66
007: 64 0.63
008: 64 0.64
009: 64 0.66
010: 64 0.67
011: 64 0.63
012: 64 0.44
013: 64 0.44
014: 64 0.44
015: 64 0.44
016: 64 0.44
017: 64 0.44
018: 64 0.44
019: 64 0.44
020: 64 0.43
64                      0.60
000: 128 1.65
001: 128 0.73
002: 128 0.72
003: 128 0.74
004: 128 0.70
005: 128 0.72
006: 128 0.72
007: 128 0.71
008: 128 0.71
009: 128 0.73
010: 128 0.73
011: 128 0.72
012: 128 0.45
013: 128 0.46
014: 128 0.46
015: 128 0.46
016: 128 0.46
017: 128 0.45
018: 128 0.46
019: 128 0.46
020: 128 0.45
128                     0.65
000: 256 1.60
001: 256 0.69
002: 256 0.66
003: 256 0.68
004: 256 0.67
005: 256 0.68
006: 256 0.67
007: 256 0.66
008: 256 0.67
009: 256 0.65
010: 256 0.68
011: 256 0.68
012: 256 0.46
013: 256 0.47
014: 256 0.47
015: 256 0.46
016: 256 0.46
017: 256 0.46
018: 256 0.47
019: 256 0.47
020: 256 0.47
256                     0.63
000: 512 1.97
001: 512 1.14
002: 512 1.13
003: 512 1.12
004: 512 1.14
005: 512 1.13
006: 512 1.13
007: 512 1.12
008: 512 1.14
009: 512 1.13
010: 512 1.13
011: 512 1.13
012: 512 0.80
013: 512 0.79
014: 512 0.80
015: 512 0.79
016: 512 0.80
017: 512 0.80
018: 512 0.80
019: 512 0.79
020: 512 0.79
512                     1.03
000: 1024 1.89
001: 1024 1.10
002: 1024 1.07
003: 1024 1.08
004: 1024 1.09
005: 1024 1.08
006: 1024 1.09
007: 1024 1.09
008: 1024 1.09
009: 1024 1.08
010: 1024 1.09
011: 1024 1.09
012: 1024 0.68
013: 1024 0.67
014: 1024 0.67
015: 1024 0.68
016: 1024 0.67
017: 1024 0.67
018: 1024 0.67
019: 1024 0.67
020: 1024 0.67
1024                    0.95
000: 2048 2.04
001: 2048 1.28
002: 2048 1.29
003: 2048 1.29
004: 2048 1.29
005: 2048 1.28
006: 2048 1.31
007: 2048 1.30
008: 2048 1.29
009: 2048 1.28
010: 2048 1.29
011: 2048 1.30
012: 2048 0.79
013: 2048 0.80
014: 2048 0.80
015: 2048 0.79
016: 2048 0.81
017: 2048 0.80
018: 2048 0.80
019: 2048 0.80
020: 2048 0.79
2048                    1.12
000: 4096 2.33
001: 4096 1.57
002: 4096 1.53
003: 4096 1.59
004: 4096 1.59
005: 4096 1.55
006: 4096 1.55
007: 4096 1.56
008: 4096 1.56
009: 4096 1.55
010: 4096 1.57
011: 4096 1.54
012: 4096 1.01
013: 4096 1.02
014: 4096 1.01
015: 4096 1.01
016: 4096 1.02
017: 4096 1.01
018: 4096 1.00
019: 4096 1.01
020: 4096 1.01
4096                    1.36
000: 8192 3.14
001: 8192 2.31
002: 8192 2.30
003: 8192 2.30
004: 8192 2.32
005: 8192 2.29
006: 8192 2.30
007: 8192 2.31
008: 8192 2.28
009: 8192 2.31
010: 8192 2.30
011: 8192 2.31
012: 8192 1.75
013: 8192 1.75
014: 8192 1.74
015: 8192 1.76
016: 8192 1.74
017: 8192 1.75
018: 8192 1.77
019: 8192 1.76
020: 8192 1.75
8192                    2.11
000: 16384 4.65
001: 16384 3.74
002: 16384 3.70
003: 16384 3.69
004: 16384 3.74
005: 16384 3.70
006: 16384 3.76
007: 16384 3.72
008: 16384 3.73
009: 16384 3.74
010: 16384 3.78
011: 16384 3.80
012: 16384 3.07
013: 16384 3.09
014: 16384 3.08
015: 16384 3.11
016: 16384 3.07
017: 16384 3.10
018: 16384 3.08
019: 16384 3.10
020: 16384 3.08
16384                   3.50
000: 32768 7.38
001: 32768 6.33
002: 32768 6.16
003: 32768 6.25
004: 32768 6.11
005: 32768 6.17
006: 32768 6.37
007: 32768 6.27
008: 32768 6.14
009: 32768 6.13
010: 32768 6.07
011: 32768 6.22
012: 32768 5.71
013: 32768 5.71
014: 32768 5.70
015: 32768 5.72
016: 32768 5.70
017: 32768 5.70
018: 32768 5.72
019: 32768 5.72
020: 32768 5.67
32768                   6.04
000: 65536 13.02
001: 65536 11.61
002: 65536 10.95
003: 65536 11.14
004: 65536 11.27
005: 65536 11.29
006: 65536 11.43
007: 65536 11.34
008: 65536 11.25
009: 65536 11.09
010: 65536 11.35
011: 65536 11.86
012: 65536 10.81
013: 65536 10.79
014: 65536 10.79
015: 65536 10.79
016: 65536 10.79
017: 65536 10.78
018: 65536 10.80
019: 65536 10.78
020: 65536 10.78
65536                  11.18
000: 131072 24.34
001: 131072 20.67
002: 131072 20.18
003: 131072 20.71
004: 131072 20.29
005: 131072 20.57
006: 131072 20.37
007: 131072 20.69
008: 131072 20.10
009: 131072 20.66
010: 131072 20.38
011: 131072 23.09
012: 131072 21.15
013: 131072 21.11
014: 131072 21.14
015: 131072 21.14
016: 131072 21.13
017: 131072 21.12
018: 131072 21.14
019: 131072 21.13
020: 131072 21.12
131072                 21.06
000: 262144 47.25
001: 262144 41.48
002: 262144 42.43
003: 262144 41.96
004: 262144 41.13
005: 262144 41.65
006: 262144 42.04
007: 262144 42.27
008: 262144 42.75
009: 262144 41.68
010: 262144 41.21
011: 262144 45.38
012: 262144 41.56
013: 262144 41.54
014: 262144 41.55
015: 262144 41.55
016: 262144 41.57
017: 262144 41.53
018: 262144 41.55
019: 262144 41.55
020: 262144 41.54
262144                 42.15
000: 524288 93.44
001: 524288 80.12
002: 524288 81.80
003: 524288 83.07
004: 524288 80.56
005: 524288 80.05
006: 524288 81.97
007: 524288 80.53
008: 524288 81.12
009: 524288 81.60
010: 524288 79.32
011: 524288 91.05
012: 524288 83.45
013: 524288 83.44
014: 524288 83.45
015: 524288 83.45
016: 524288 83.45
017: 524288 83.48
018: 524288 83.42
019: 524288 83.45
020: 524288 83.46
524288                 83.13
000: 1048576 197.89
001: 1048576 121.69
002: 1048576 116.61
003: 1048576 120.92
004: 1048576 119.70
005: 1048576 116.42
006: 1048576 122.08
007: 1048576 123.91
008: 1048576 119.53
009: 1048576 116.29
010: 1048576 130.43
011: 1048576 187.90
012: 1048576 169.32
013: 1048576 169.30
014: 1048576 169.29
015: 1048576 169.33
016: 1048576 169.31
017: 1048576 169.31
018: 1048576 169.30
019: 1048576 169.31
020: 1048576 169.29
1048576               148.44

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
000: 1 1.76
001: 1 0.93
002: 1 0.92
003: 1 0.92
004: 1 0.94
005: 1 0.93
006: 1 0.93
007: 1 0.90
008: 1 0.93
009: 1 0.94
010: 1 0.91
011: 1 0.95
012: 1 0.60
013: 1 0.60
014: 1 0.59
015: 1 0.59
016: 1 0.60
017: 1 0.60
018: 1 0.58
019: 1 0.60
020: 1 0.60
1                       0.82
000: 2 1.81
001: 2 0.96
002: 2 0.96
003: 2 0.96
004: 2 0.99
005: 2 0.96
006: 2 0.97
007: 2 0.97
008: 2 0.95
009: 2 0.96
010: 2 0.95
011: 2 0.97
012: 2 0.66
013: 2 0.68
014: 2 0.67
015: 2 0.66
016: 2 0.66
017: 2 0.67
018: 2 0.66
019: 2 0.67
020: 2 0.67
2                       0.88
000: 4 1.58
001: 4 0.72
002: 4 0.72
003: 4 0.72
004: 4 0.71
005: 4 0.71
006: 4 0.69
007: 4 0.71
008: 4 0.70
009: 4 0.70
010: 4 0.70
011: 4 0.73
012: 4 0.45
013: 4 0.45
014: 4 0.45
015: 4 0.45
016: 4 0.45
017: 4 0.45
018: 4 0.45
019: 4 0.45
020: 4 0.45
4                       0.64
000: 8 1.61
001: 8 0.69
002: 8 0.69
003: 8 0.69
004: 8 0.69
005: 8 0.70
006: 8 0.70
007: 8 0.70
008: 8 0.70
009: 8 0.69
010: 8 0.69
011: 8 0.69
012: 8 0.43
013: 8 0.43
014: 8 0.42
015: 8 0.42
016: 8 0.43
017: 8 0.42
018: 8 0.43
019: 8 0.42
020: 8 0.43
8                       0.62
000: 16 1.57
001: 16 0.70
002: 16 0.69
003: 16 0.70
004: 16 0.68
005: 16 0.68
006: 16 0.69
007: 16 0.68
008: 16 0.69
009: 16 0.69
010: 16 0.70
011: 16 0.68
012: 16 0.42
013: 16 0.42
014: 16 0.42
015: 16 0.42
016: 16 0.42
017: 16 0.42
018: 16 0.41
019: 16 0.42
020: 16 0.42
16                      0.61
000: 32 1.54
001: 32 0.63
002: 32 0.65
003: 32 0.65
004: 32 0.65
005: 32 0.65
006: 32 0.65
007: 32 0.65
008: 32 0.64
009: 32 0.64
010: 32 0.64
011: 32 0.65
012: 32 0.37
013: 32 0.37
014: 32 0.37
015: 32 0.37
016: 32 0.37
017: 32 0.38
018: 32 0.38
019: 32 0.37
020: 32 0.38
32                      0.57
000: 64 1.52
001: 64 0.63
002: 64 0.63
003: 64 0.64
004: 64 0.66
005: 64 0.64
006: 64 0.63
007: 64 0.63
008: 64 0.63
009: 64 0.64
010: 64 0.65
011: 64 0.63
012: 64 0.39
013: 64 0.38
014: 64 0.39
015: 64 0.39
016: 64 0.39
017: 64 0.38
018: 64 0.37
019: 64 0.39
020: 64 0.38
64                      0.57
000: 128 1.56
001: 128 0.65
002: 128 0.67
003: 128 0.68
004: 128 0.67
005: 128 0.66
006: 128 0.68
007: 128 0.66
008: 128 0.66
009: 128 0.69
010: 128 0.70
011: 128 0.67
012: 128 0.42
013: 128 0.42
014: 128 0.42
015: 128 0.43
016: 128 0.40
017: 128 0.42
018: 128 0.42
019: 128 0.42
020: 128 0.41
128                     0.61
000: 256 1.65
001: 256 0.73
002: 256 0.75
003: 256 0.74
004: 256 0.77
005: 256 0.75
006: 256 0.72
007: 256 0.74
008: 256 0.74
009: 256 0.74
010: 256 0.74
011: 256 0.74
012: 256 0.49
013: 256 0.48
014: 256 0.48
015: 256 0.49
016: 256 0.47
017: 256 0.48
018: 256 0.49
019: 256 0.47
020: 256 0.48
256                     0.67
000: 512 1.97
001: 512 1.11
002: 512 1.09
003: 512 1.10
004: 512 1.10
005: 512 1.09
006: 512 1.10
007: 512 1.11
008: 512 1.09
009: 512 1.11
010: 512 1.09
011: 512 1.10
012: 512 0.82
013: 512 0.80
014: 512 0.81
015: 512 0.81
016: 512 0.81
017: 512 0.81
018: 512 0.80
019: 512 0.80
020: 512 0.81
512                     1.02
000: 1024 1.81
001: 1024 1.05
002: 1024 1.04
003: 1024 1.04
004: 1024 1.05
005: 1024 1.04
006: 1024 1.05
007: 1024 1.06
008: 1024 1.06
009: 1024 1.05
010: 1024 1.05
011: 1024 1.04
012: 1024 0.71
013: 1024 0.73
014: 1024 0.71
015: 1024 0.71
016: 1024 0.71
017: 1024 0.71
018: 1024 0.70
019: 1024 0.71
020: 1024 0.70
1024                    0.94
000: 2048 2.10
001: 2048 1.37
002: 2048 1.38
003: 2048 1.39
004: 2048 1.39
005: 2048 1.37
006: 2048 1.38
007: 2048 1.38
008: 2048 1.38
009: 2048 1.37
010: 2048 1.39
011: 2048 1.38
012: 2048 0.97
013: 2048 0.97
014: 2048 0.97
015: 2048 0.97
016: 2048 0.95
017: 2048 0.97
018: 2048 0.95
019: 2048 0.97
020: 2048 0.97
2048                    1.24
000: 4096 2.33
001: 4096 1.57
002: 4096 1.61
003: 4096 1.60
004: 4096 1.57
005: 4096 1.60
006: 4096 1.60
007: 4096 1.59
008: 4096 1.58
009: 4096 1.58
010: 4096 1.59
011: 4096 1.57
012: 4096 1.14
013: 4096 1.11
014: 4096 1.14
015: 4096 1.13
016: 4096 1.12
017: 4096 1.15
018: 4096 1.13
019: 4096 1.14
020: 4096 1.13
4096                    1.43
000: 8192 3.05
001: 8192 2.28
002: 8192 2.28
003: 8192 2.26
004: 8192 2.28
005: 8192 2.28
006: 8192 2.26
007: 8192 2.28
008: 8192 2.25
009: 8192 2.28
010: 8192 2.29
011: 8192 2.29
012: 8192 1.77
013: 8192 1.77
014: 8192 1.76
015: 8192 1.76
016: 8192 1.76
017: 8192 1.76
018: 8192 1.75
019: 8192 1.76
020: 8192 1.74
8192                    2.09
000: 16384 4.46
001: 16384 3.66
002: 16384 3.52
003: 16384 3.59
004: 16384 3.56
005: 16384 3.56
006: 16384 3.65
007: 16384 3.64
008: 16384 3.60
009: 16384 3.63
010: 16384 3.59
011: 16384 3.64
012: 16384 2.92
013: 16384 2.92
014: 16384 2.90
015: 16384 2.93
016: 16384 2.93
017: 16384 2.93
018: 16384 2.92
019: 16384 2.93
020: 16384 2.93
16384                   3.35
000: 32768 7.44
001: 32768 6.40
002: 32768 6.47
003: 32768 6.23
004: 32768 6.11
005: 32768 6.15
006: 32768 6.45
007: 32768 6.42
008: 32768 6.22
009: 32768 6.28
010: 32768 6.45
011: 32768 6.22
012: 32768 5.78
013: 32768 5.78
014: 32768 5.76
015: 32768 5.77
016: 32768 5.76
017: 32768 5.78
018: 32768 5.75
019: 32768 5.78
020: 32768 5.75
32768                   6.13
000: 65536 13.24
001: 65536 11.94
002: 65536 11.83
003: 65536 11.69
004: 65536 11.97
005: 65536 11.82
006: 65536 11.99
007: 65536 11.90
008: 65536 11.70
009: 65536 11.83
010: 65536 11.69
011: 65536 11.54
012: 65536 10.81
013: 65536 10.83
014: 65536 10.81
015: 65536 10.81
016: 65536 10.79
017: 65536 10.81
018: 65536 10.81
019: 65536 10.81
020: 65536 10.80
65536                  11.45
000: 131072 23.95
001: 131072 21.49
002: 131072 20.18
003: 131072 20.74
004: 131072 20.66
005: 131072 20.67
006: 131072 20.63
007: 131072 20.85
008: 131072 20.46
009: 131072 20.70
010: 131072 20.05
011: 131072 20.09
012: 131072 21.11
013: 131072 21.12
014: 131072 21.09
015: 131072 21.07
016: 131072 21.10
017: 131072 21.08
018: 131072 21.08
019: 131072 21.10
020: 131072 21.08
131072                 20.97
000: 262144 45.54
001: 262144 39.53
002: 262144 38.13
003: 262144 38.31
004: 262144 38.06
005: 262144 38.05
006: 262144 38.79
007: 262144 38.14
008: 262144 38.33
009: 262144 38.72
010: 262144 39.90
011: 262144 38.44
012: 262144 42.07
013: 262144 42.06
014: 262144 42.06
015: 262144 42.07
016: 262144 42.07
017: 262144 42.06
018: 262144 42.05
019: 262144 42.07
020: 262144 42.03
262144                 40.40
000: 524288 91.13
001: 524288 75.41
002: 524288 75.88
003: 524288 76.56
004: 524288 75.67
005: 524288 76.55
006: 524288 75.26
007: 524288 75.50
008: 524288 73.08
009: 524288 76.77
010: 524288 78.03
011: 524288 75.11
012: 524288 83.77
013: 524288 83.75
014: 524288 83.75
015: 524288 83.76
016: 524288 83.74
017: 524288 83.75
018: 524288 83.73
019: 524288 83.77
020: 524288 83.74
524288                 79.94
000: 1048576 177.23
001: 1048576 130.22
002: 1048576 131.23
