
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.65
2                       0.65
4                       0.68
8                       0.70
16                      0.69
32                      0.64
64                      0.65
128                     0.70
256                     0.78
512                     1.22
1024                    1.47
2048                    1.79
4096                    2.49
8192                    4.33
16384                   6.93
32768                  11.31
65536                  20.94
131072                 41.24
262144                 77.02
524288                154.96
1048576               361.79

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.62
2                       0.65
4                       0.63
8                       0.65
16                      0.65
32                      0.66
64                      0.68
128                     0.82
256                     0.94
512                     1.01
1024                    1.41
2048                    1.82
4096                    2.62
8192                    4.37
16384                   6.73
32768                  11.31
65536                  20.97
131072                 39.34
262144                 74.41
524288                150.45
1048576               355.56

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.69
2                       0.79
4                       0.73
8                       0.73
16                      0.73
32                      0.63
64                      0.60
128                     0.72
256                     0.80
512                     1.03
1024                    1.31
2048                    1.84
4096                    2.35
8192                    4.05
16384                   6.74
32768                  11.23
65536                  20.55
131072                 39.79
262144                 76.75
524288                153.74
1048576               369.58

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.74
2                       0.65
4                       0.67
8                       0.70
16                      0.73
32                      0.70
64                      0.68
128                     0.85
256                     0.84
512                     1.13
1024                    1.40
2048                    1.84
4096                    2.33
8192                    4.17
16384                   6.71
32768                  11.14
65536                  20.76
131072                 38.73
262144                 75.16
524288                156.45
1048576               336.73

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.78
2                       0.71
4                       0.69
8                       0.68
16                      0.68
32                      0.62
64                      0.60
128                     0.77
256                     0.89
512                     0.99
1024                    1.26
2048                    1.77
4096                    2.28
8192                    4.00
16384                   6.62
32768                  11.19
65536                  20.76
131072                 39.50
262144                 78.63
524288                160.03
1048576               346.46

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.70
2                       0.61
4                       0.68
8                       0.63
16                      0.61
32                      0.65
64                      0.61
128                     0.82
256                     0.82
512                     0.96
1024                    1.17
2048                    1.74
4096                    2.50
8192                    4.23
16384                   6.50
32768                  11.31
65536                  20.66
131072                 40.47
262144                 82.78
524288                160.16
1048576               352.45

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.79
2                       0.79
4                       0.79
8                       0.77
16                      0.76
32                      0.63
64                      0.65
128                     0.69
256                     0.72
512                     1.08
1024                    1.42
2048                    1.92
4096                    2.42
8192                    4.17
16384                   6.67
32768                  11.47
65536                  20.54
131072                 38.98
262144                 75.04
524288                150.83
1048576               346.46

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.85
2                       0.78
4                       0.72
8                       0.79
16                      0.76
32                      0.69
64                      0.66
128                     0.90
256                     0.83
512                     1.13
1024                    1.39
2048                    1.75
4096                    2.33
8192                    3.94
16384                   6.41
32768                  11.12
65536                  20.25
