
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.47
2                       0.52
4                       0.51
8                       0.53
16                      0.50
32                      0.53
64                      0.52
128                     0.69
256                     0.73
512                     1.05
1024                    1.03
2048                    1.21
4096                    1.72
8192                    2.61
16384                   4.62
32768                   8.83
65536                  14.26
131072                 26.05
262144                 47.42
524288                 93.01
1048576               210.35

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.47
2                       0.46
4                       0.45
8                       0.45
16                      0.47
32                      0.48
64                      0.45
128                     0.54
256                     0.77
512                     0.94
1024                    1.08
2048                    1.24
4096                    1.84
8192                    2.74
16384                   4.99
32768                   8.67
65536                  16.08
131072                 25.26
262144                 45.51
524288                 94.85
1048576               197.55

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.54
2                       0.57
4                       0.57
8                       0.59
16                      0.54
32                      0.50
64                      0.48
128                     0.60
256                     0.69
512                     0.99
1024                    1.10
2048                    1.30
4096                    1.80
8192                    2.83
16384                   4.55
32768                   8.38
65536                  14.85
131072                 28.35
262144                 51.83
524288                 95.21
1048576               209.34

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.45
2                       0.46
4                       0.44
8                       0.47
16                      0.47
32                      0.48
64                      0.45
128                     0.61
256                     0.67
512                     0.95
1024                    1.08
2048                    1.20
4096                    1.76
8192                    2.67
16384                   4.66
32768                   8.75
65536                  15.12
131072                 25.39
262144                 46.96
524288                 93.24
1048576               209.17

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.44
2                       0.42
4                       0.41
8                       0.41
16                      0.42
32                      0.43
64                      0.41
128                     0.51
256                     0.68
512                     0.82
1024                    1.20
2048                    1.40
4096                    1.87
8192                    2.78
16384                   4.97
32768                   8.95
65536                  15.08
131072                 25.84
262144                 47.08
524288                 95.38
1048576               229.55

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.46
2                       0.46
4                       0.45
8                       0.46
16                      0.43
32                      0.48
64                      0.51
128                     0.58
256                     0.94
512                     0.96
1024                    1.06
2048                    1.26
4096                    1.75
8192                    2.65
16384                   4.55
32768                   8.29
65536                  14.71
131072                 27.30
262144                 51.51
524288                 95.07
1048576               214.11

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.44
2                       0.44
4                       0.47
8                       0.45
16                      0.45
32                      0.46
64                      0.50
128                     0.56
256                     0.65
512                     1.00
1024                    1.05
2048                    1.24
4096                    1.73
8192                    2.85
16384                   4.59
32768                   8.92
65536                  16.11
131072                 30.00
262144                 54.05
524288                 98.59
1048576               206.58

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.46
2                       0.41
4                       0.46
8                       0.46
16                      0.45
32                      0.45
64                      0.44
128                     0.60
256                     0.64
512                     1.05
1024                    1.04
2048                    1.24
4096                    1.79
8192                    2.68
16384                   4.56
32768                   8.73
65536                  15.62
131072                 24.60
262144                 46.07
524288                 92.44
1048576               223.81

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.43
2                       0.43
4                       0.44
8                       0.46
16                      0.46
32                      0.44
64                      0.44
128                     0.63
256                     0.62
512                     1.01
1024                    1.00
2048                    1.74
4096                    1.83
8192                    2.71
16384                   4.52
32768                   8.00
65536                  14.38
131072                 27.19
262144                 47.86
524288                 93.19
1048576               215.10

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.48
2                       0.51
4                       0.48
8                       0.50
16                      0.49
32                      0.49
64                      0.48
128                     0.60
256                     0.73
512                     0.93
1024                    1.12
2048                    1.22
4096                    1.74
8192                    2.56
16384                   4.53
32768                   8.69
65536                  15.71
131072                 26.92
262144                 53.95
524288                 94.99
1048576               205.43

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.49
2                       0.50
4                       0.47
8                       0.46
16                      0.48
32                      0.43
64                      0.42
128                     0.58
256                     0.65
512                     0.81
1024                    1.17
2048                    1.36
4096                    1.84
8192                    2.80
16384                   4.56
32768                   8.48
65536                  12.50
131072                 22.90
262144                 44.15
524288                 92.40
1048576               212.34

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.46
2                       0.49
4                       0.50
8                       0.45
16                      0.47
32                      0.49
64                      0.47
128                     0.63
256                     0.76
512                     0.96
1024                    1.04
2048                    1.24
4096                    1.71
8192                    2.79
16384                   4.66
32768                   9.12
65536                  16.38
131072                 29.57
262144                 52.13
524288                100.96
1048576               217.37

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.46
2                       0.50
4                       0.46
8                       0.44
16                      0.50
32                      0.45
64                      0.49
128                     0.73
256                     0.66
512                     1.17
1024                    1.08
2048                    1.38
4096                    1.81
8192                    2.70
16384                   4.71
32768                   9.26
65536                  16.81
131072                 30.29
262144                 54.27
524288                 97.37
1048576               218.10

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.46
2                       0.50
4                       0.47
8                       0.46
16                      0.47
32                      0.46
64                      0.47
128                     0.60
256                     0.66
512                     0.84
1024                    1.30
2048                    1.46
4096                    2.24
8192                    2.93
16384                   4.63
32768                   8.55
65536                  14.95
131072                 24.80
262144                 45.25
524288                 91.76
1048576               212.45

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.49
2                       0.47
4                       0.45
8                       0.49
16                      0.47
32                      0.49
64                      0.49
128                     0.72
256                     0.75
512                     0.99
1024                    1.07
2048                    1.26
4096                    1.73
8192                    2.68
16384                   4.64
32768                   8.54
65536                  15.35
131072                 26.30
262144                 47.23
524288                 98.35
1048576               213.17

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.48
2                       0.44
4                       0.52
8                       0.49
16                      0.44
32                      0.45
64                      0.46
128                     0.71
256                     0.68
512                     1.06
1024                    1.01
2048                    1.20
4096                    1.70
8192                    2.67
16384                   4.67
32768                   8.67
65536                  15.26
131072                 27.67
262144                 51.14
524288                 97.57
1048576               226.54

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.49
2                       0.47
4                       0.48
8                       0.45
16                      0.46
32                      0.47
64                      0.46
128                     0.83
256                     0.80
512                     1.06
1024                    0.99
2048                    1.24
4096                    1.83
8192                    2.79
16384                   4.82
32768                   9.10
65536                  15.84
131072                 28.65
262144                 50.23
524288                 95.74
1048576               210.46

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.58
2                       0.51
4                       0.50
8                       0.46
16                      0.48
32                      0.45
64                      0.45
128                     0.54
256                     0.68
512                     0.82
1024                    0.99
2048                    1.21
4096                    1.73
8192                    2.78
16384                   4.69
32768                   9.01
65536                  16.01
131072                 28.74
262144                 52.92
524288                 96.93
1048576               218.54

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.49
2                       0.48
4                       0.49
8                       0.48
16                      0.49
32                      0.49
64                      0.50
128                     0.73
256                     0.73
512                     1.01
1024                    1.05
2048                    1.19
4096                    1.79
8192                    2.86
16384                   4.80
32768                   8.16
65536                  13.87
131072                 23.56
262144                 45.58
524288                 93.27
1048576               216.93

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.48
2                       0.53
4                       0.48
8                       0.50
16                      0.47
32                      0.49
64                      0.49
128                     0.78
256                     0.68
512                     0.94
1024                    1.05
2048                    1.24
4096                    2.48
8192                    2.67
16384                   4.78
32768                   8.41
65536                  13.86
131072                 24.55
262144                 46.46
524288                 94.32
1048576               217.55

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.55
2                       0.51
4                       0.50
8                       0.49
16                      0.55
32                      0.40
64                      0.42
128                     0.53
256                     0.89
512                     1.02
1024                    1.04
2048                    1.29
4096                    2.04
8192                    2.76
16384                   4.99
32768                   8.54
