
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.50
2                       0.52
4                       0.52
8                       0.48
16                      0.45
32                      0.50
64                      0.53
128                     0.56
256                     0.99
512                     1.35
1024                    1.13
2048                    1.30
4096                    2.02
8192                    2.63
16384                   4.02
32768                   7.25
65536                  13.23
131072                 23.36
262144                 44.86
524288                 84.77
1048576               182.31

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.56
2                       0.54
4                       0.53
8                       0.51
16                      0.53
32                      0.54
64                      0.60
128                     0.64
256                     0.98
512                     1.16
1024                    1.15
2048                    1.34
4096                    2.04
8192                    2.65
16384                   3.97
32768                   7.02
65536                  12.79
131072                 24.41
262144                 47.61
524288                 85.92
1048576               178.50

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.46
2                       0.51
4                       0.59
8                       0.58
16                      0.50
32                      0.49
64                      0.47
128                     0.72
256                     1.01
512                     1.26
1024                    1.32
2048                    1.43
4096                    2.00
8192                    2.60
16384                   3.96
32768                   7.17
65536                  13.36
131072                 23.73
262144                 44.27
524288                 82.39
1048576               179.28

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.56
2                       0.60
4                       0.59
8                       0.55
16                      0.60
32                      0.57
64                      0.56
128                     0.70
256                     0.99
512                     1.16
1024                    1.23
2048                    1.31
4096                    1.98
8192                    2.68
16384                   4.27
32768                   7.18
65536                  12.99
131072                 23.09
262144                 42.62
524288                 80.86
1048576               177.78

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.51
2                       0.55
4                       0.52
8                       0.53
16                      0.54
32                      0.49
64                      0.48
128                     0.78
256                     1.09
512                     1.23
1024                    1.20
2048                    1.42
4096                    2.04
8192                    2.65
16384                   3.98
32768                   7.17
65536                  13.00
131072                 24.61
262144                 44.61
524288                 84.53
1048576               178.86

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.50
2                       0.55
4                       0.69
8                       0.68
16                      0.54
32                      0.52
64                      0.49
128                     0.78
256                     1.03
512                     1.29
1024                    1.16
2048                    1.33
4096                    2.02
8192                    2.71
16384                   4.16
32768                   7.15
65536                  13.05
131072                 24.05
262144                 44.49
524288                 84.23
1048576               165.80

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.71
2                       0.86
4                       0.73
8                       0.79
16                      0.72
32                      0.76
64                      0.77
128                     0.95
256                     1.05
512                     1.22
1024                    1.11
2048                    1.31
4096                    1.98
8192                    2.63
16384                   4.03
32768                   6.82
65536                  11.54
131072                 21.98
262144                 41.37
524288                 84.38
1048576               183.48

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.49
2                       0.53
4                       0.52
8                       0.53
16                      0.53
32                      0.54
64                      0.57
128                     0.68
256                     1.07
512                     1.30
1024                    1.17
2048                    1.34
4096                    2.07
8192                    2.65
16384                   4.06
32768                   7.26
65536                  13.17
131072                 23.54
262144                 43.25
524288                 84.94
1048576               166.85

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.51
2                       0.45
4                       0.44
8                       0.45
16                      0.45
32                      0.48
64                      0.49
128                     0.56
256                     0.95
512                     1.21
1024                    1.15
2048                    1.54
4096                    2.00
8192                    2.70
16384                   3.95
32768                   6.71
65536                  11.80
131072                 21.00
262144                 40.17
524288                 77.95
1048576               181.04

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.55
2                       0.53
4                       0.55
8                       0.52
16                      0.47
32                      0.53
64                      0.48
128                     0.62
256                     0.97
512                     1.11
1024                    1.06
2048                    1.40
4096                    1.98
8192                    2.69
16384                   4.11
32768                   7.26
65536                  13.03
131072                 24.22
262144                 43.09
524288                 84.52
1048576               170.75

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.60
2                       0.50
4                       0.55
8                       0.56
16                      0.48
32                      0.53
64                      0.56
128                     0.64
256                     1.07
512                     1.28
1024                    1.12
2048                    1.28
4096                    1.99
8192                    2.62
16384                   4.06
32768                   6.71
65536                  11.66
131072                 20.42
262144                 39.68
524288                 78.06
1048576               172.69

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.53
2                       0.55
4                       0.50
8                       0.49
16                      0.46
32                      0.49
64                      0.49
128                     0.55
256                     1.01
512                     1.30
1024                    1.10
2048                    1.36
4096                    2.01
8192                    2.71
16384                   4.01
32768                   7.32
65536                  12.39
131072                 23.14
262144                 44.30
524288                 86.15
1048576               181.90

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.53
2                       0.51
4                       0.52
8                       0.51
16                      0.57
32                      0.69
64                      0.56
128                     0.60
256                     1.07
512                     1.44
1024                    1.09
2048                    1.41
4096                    1.99
8192                    2.68
16384                   4.01
32768                   7.11
65536                  12.75
131072                 23.90
262144                 44.00
524288                 84.57
1048576               160.74

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.52
2                       0.49
4                       0.55
8                       0.58
16                      0.64
32                      0.56
64                      0.53
128                     0.62
256                     1.12
512                     1.14
1024                    1.16
2048                    1.30
4096                    2.03
8192                    2.66
16384                   4.16
32768                   7.24
65536                  12.97
131072                 24.44
262144                 46.12
524288                 85.78
1048576               177.43

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.48
2                       0.46
4                       0.53
8                       0.54
16                      0.53
32                      0.62
64                      0.62
128                     0.62
256                     1.05
512                     1.37
1024                    1.08
