
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.50
2                       0.50
4                       0.52
8                       0.49
16                      0.48
32                      0.47
64                      0.47
128                     0.72
256                     0.94
512                     1.10
1024                    1.16
2048                    1.39
4096                    1.81
8192                    2.81
16384                   4.65
32768                   8.05
65536                  13.81
131072                 23.54
262144                 44.93
524288                 95.81
1048576               210.75

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.57
2                       0.58
4                       0.55
8                       0.63
16                      0.64
32                      0.55
64                      0.58
128                     0.66
256                     1.01
512                     1.30
1024                    1.20
2048                    1.41
4096                    1.87
8192                    2.94
16384                   4.73
32768                   7.18
65536                  12.32
131072                 21.78
262144                 43.56
524288                 87.18
1048576               208.80

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.48
2                       0.49
4                       0.50
8                       0.50
16                      0.46
32                      0.48
64                      0.51
128                     0.68
256                     0.98
512                     1.31
1024                    1.14
2048                    1.29
4096                    1.87
8192                    2.71
16384                   4.71
32768                   8.10
65536                  13.10
131072                 22.25
262144                 43.67
524288                 91.62
1048576               197.57

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.42
2                       0.44
4                       0.50
8                       0.46
16                      0.44
32                      0.51
64                      0.54
128                     0.59
256                     0.99
512                     1.27
1024                    1.05
2048                    1.33
4096                    1.86
8192                    2.85
16384                   4.88
32768                   8.10
65536                  12.99
131072                 23.03
262144                 45.21
524288                 90.42
1048576               210.38

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.54
2                       0.50
4                       0.49
8                       0.53
16                      0.58
32                      0.55
64                      0.56
128                     0.56
256                     1.01
512                     1.32
1024                    1.10
2048                    1.48
4096                    1.82
8192                    2.75
16384                   4.55
32768                   7.96
65536                  14.47
131072                 23.60
262144                 41.98
524288                 93.88
1048576               211.60

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.48
2                       0.56
4                       0.44
8                       0.47
16                      0.45
32                      0.48
64                      0.48
128                     0.57
256                     1.00
