
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.78
2                       0.74
4                       0.76
8                       0.79
16                      0.85
32                      1.10
64                      1.05
128                     1.05
256                     1.08
512                     1.33
1024                    1.32
2048                    1.43
4096                    2.11
8192                    2.82
16384                   4.88
32768                   7.95
65536                  12.34
131072                 22.97
262144                 43.85
524288                 87.38
1048576               216.65

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.72
2                       0.76
4                       0.73
8                       0.76
16                      0.78
32                      0.74
64                      0.71
128                     0.88
256                     0.87
512                     1.18
1024                    1.14
2048                    1.39
4096                    1.84
8192                    2.73
16384                   4.56
32768                   7.83
65536                  13.10
131072                 22.99
262144                 43.70
524288                 86.82
1048576               211.51

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.71
2                       0.73
4                       0.77
8                       0.75
16                      0.74
32                      0.72
64                      0.71
128                     0.75
256                     0.80
512                     1.10
1024                    1.16
2048                    1.35
4096                    1.76
8192                    2.87
16384                   4.70
32768                   7.60
65536                  12.56
131072                 23.14
262144                 44.01
524288                 90.01
1048576               198.25

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.72
2                       0.71
4                       0.66
8                       0.70
16                      0.66
32                      0.67
64                      0.66
128                     0.72
256                     1.08
512                     1.27
1024                    1.26
2048                    1.35
4096                    1.88
8192                    3.14
16384                   4.95
32768                   8.17
65536                  12.74
131072                 22.84
262144                 43.13
524288                 86.55
1048576               191.32

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.64
2                       0.66
4                       0.63
8                       0.69
16                      0.62
32                      0.67
64                      0.69
128                     0.75
256                     0.78
512                     1.21
1024                    1.33
2048                    1.60
4096                    1.98
8192                    3.01
16384                   4.59
32768                   8.10
65536                  12.67
131072                 22.97
262144                 43.13
524288                 89.58
1048576               196.24

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.65
2                       0.66
4                       0.67
8                       0.68
16                      0.67
32                      0.69
64                      0.68
128                     0.74
256                     0.81
512                     0.97
1024                    1.10
2048                    1.41
4096                    1.73
8192                    2.63
16384                   4.46
32768                   7.48
65536                  12.44
131072                 22.35
262144                 42.96
524288                 87.97
1048576               199.16

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.69
2                       0.68
4                       0.73
8                       0.72
16                      0.75
32                      0.76
64                      0.76
128                     0.76
256                     0.85
512                     1.12
1024                    1.25
2048                    1.30
4096                    2.02
8192                    2.77
16384                   4.66
32768                   7.43
65536                  12.41
131072                 22.74
262144                 43.35
524288                 86.98
1048576               215.58

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.85
2                       0.78
4                       0.73
8                       0.79
16                      0.77
32                      0.74
64                      0.77
128                     0.78
256                     0.85
512                     1.30
1024                    1.20
2048                    1.42
4096                    1.84
8192                    2.75
16384                   4.49
32768                   8.08
65536                  13.48
131072                 23.27
262144                 43.30
524288                 88.21
1048576               214.23

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.63
2                       0.66
4                       0.64
8                       0.69
16                      0.69
32                      0.69
64                      0.67
128                     0.70
256                     0.77
512                     1.17
1024                    1.31
2048                    1.47
4096                    2.08
8192                    3.11
16384                   4.85
32768                   8.67
65536                  12.99
131072                 23.27
262144                 43.30
524288                 87.64
1048576               195.68

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.80
2                       0.85
4                       0.83
8                       0.84
16                      0.81
32                      0.84
64                      0.80
128                     0.87
256                     0.89
512                     1.12
1024                    1.13
2048                    1.43
4096                    1.78
8192                    2.76
16384                   4.61
32768                   7.61
65536                  13.63
131072                 24.87
262144                 47.61
524288                 94.05
1048576               187.33

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.72
2                       0.80
4                       0.76
8                       0.75
16                      0.73
32                      0.79
64                      0.79
128                     0.81
256                     0.86
512                     1.15
1024                    1.15
2048                    1.46
4096                    1.85
8192                    2.79
16384                   4.48
32768                   7.77
65536                  13.08
131072                 23.11
262144                 45.25
524288                 89.67
1048576               204.75

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.70
2                       0.70
4                       0.70
8                       0.69
16                      0.70
32                      0.70
64                      0.72
128                     0.77
256                     0.82
512                     1.12
1024                    1.08
2048                    1.33
4096                    1.88
8192                    3.10
16384                   4.86
32768                   8.61
65536                  13.25
131072                 22.90
262144                 44.47
524288                 90.26
1048576               212.80

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.84
2                       0.80
4                       0.76
8                       0.78
16                      0.77
32                      0.76
64                      0.78
128                     0.77
256                     0.88
512                     1.32
1024                    1.23
2048                    1.35
4096                    1.97
8192                    2.84
16384                   4.82
32768                   8.21
65536                  13.95
131072                 25.43
262144                 48.29
524288                 91.96
1048576               209.43

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.67
2                       0.72
4                       0.69
8                       0.69
16                      0.67
32                      0.73
64                      0.72
128                     0.75
256                     0.79
512                     0.99
1024                    1.27
2048                    1.45
4096                    1.69
8192                    2.87
16384                   4.80
32768                   8.48
65536                  13.51
131072                 22.18
262144                 44.15
524288                 89.29
1048576               205.27

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.72
2                       0.68
