
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.81
2                       0.84
4                       0.85
8                       0.85
16                      0.83
32                      0.88
64                      0.87
128                     1.05
256                     1.11
512                     1.54
1024                    1.52
2048                    1.78
4096                    2.13
8192                    3.00
16384                   4.68
32768                   7.79
65536                  13.45
131072                 26.20
262144                 47.38
524288                 94.86
1048576               190.05

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.84
2                       0.90
4                       0.90
8                       0.94
16                      0.92
32                      0.87
64                      0.90
128                     1.06
256                     1.08
512                     1.58
1024                    1.64
2048                    1.76
4096                    2.13
8192                    3.11
16384                   4.66
32768                   7.74
65536                  13.84
131072                 25.26
262144                 47.19
524288                 97.13
1048576               185.05

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.86
2                       0.92
4                       0.87
8                       0.85
16                      0.99
32                      0.86
64                      0.86
128                     1.15
256                     1.09
512                     1.49
1024                    1.51
2048                    1.80
4096                    2.05
8192                    3.04
16384                   4.66
32768                   7.86
65536                  13.51
131072                 25.46
262144                 49.19
524288                 92.36
1048576               190.13

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       1.00
2                       0.97
4                       0.92
8                       0.94
16                      0.97
32                      0.89
64                      0.89
128                     1.10
256                     1.06
512                     1.57
1024                    1.63
2048                    1.88
4096                    2.17
8192                    3.10
16384                   4.62
32768                   7.31
65536                  13.07
131072                 23.69
262144                 42.51
524288                 87.91
1048576               192.43

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.83
2                       0.89
4                       0.87
8                       0.92
16                      0.88
32                      0.83
64                      0.87
128                     0.94
256                     0.96
512                     1.44
1024                    1.53
2048                    1.78
4096                    2.01
8192                    3.02
16384                   4.59
32768                   7.79
65536                  13.74
131072                 25.14
262144                 48.97
524288                 93.38
1048576               177.94

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.86
2                       0.83
4                       0.84
8                       0.83
16                      0.81
32                      0.90
64                      0.87
128                     0.98
256                     1.07
512                     1.59
1024                    1.48
2048                    1.69
4096                    1.98
8192                    2.88
16384                   4.58
32768                   7.73
65536                  13.83
131072                 26.52
262144                 52.25
524288                 98.01
1048576               199.04

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.86
2                       0.85
4                       0.85
8                       0.86
16                      0.86
32                      0.91
64                      0.86
128                     1.07
256                     1.03
512                     1.67
1024                    1.50
2048                    1.82
4096                    2.06
8192                    2.89
16384                   4.38
32768                   7.90
65536                  13.79
131072                 25.82
262144                 49.62
524288                 97.09
1048576               189.17

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.85
2                       0.83
4                       0.80
8                       0.80
16                      0.83
32                      0.83
64                      0.88
128                     0.98
256                     1.15
512                     1.40
1024                    1.52
2048                    1.75
4096                    1.96
8192                    2.96
16384                   4.39
32768                   7.65
65536                  13.85
131072                 26.81
262144                 52.51
524288                100.61
1048576               202.02

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.88
2                       0.96
4                       0.97
8                       0.92
16                      1.02
32                      0.97
64                      0.94
128                     1.01
256                     1.14
512                     1.77
1024                    1.55
2048                    1.93
4096                    2.10
8192                    3.10
16384                   4.62
32768                   7.91
65536                  13.93
131072                 26.60
262144                 49.14
524288                 93.93
1048576               187.52

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.84
2                       0.90
4                       0.88
8                       0.89
16                      0.88
32                      0.83
64                      0.85
128                     1.07
256                     1.07
512                     1.48
1024                    1.51
2048                    1.84
4096                    2.04
8192                    3.05
16384                   4.71
32768                   7.89
65536                  14.10
131072                 26.68
262144                 48.69
524288                 94.43
1048576               180.80

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.80
2                       0.87
4                       0.90
8                       0.91
16                      0.88
32                      0.83
64                      0.80
128                     1.02
256                     1.04
512                     1.55
1024                    1.59
2048                    1.75
4096                    2.17
8192                    3.03
16384                   4.43
32768                   7.59
65536                  13.80
131072                 26.35
262144                 50.75
524288                 98.58
1048576               183.02

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.92
2                       0.91
4                       0.94
8                       1.01
16                      0.88
32                      0.93
64                      0.93
128                     1.33
256                     1.22
512                     1.67
1024                    1.57
2048                    1.82
4096                    2.02
8192                    2.92
16384                   4.47
32768                   7.63
65536                  12.84
131072                 24.59
262144                 49.33
524288                 95.78
1048576               184.77

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.78
2                       0.83
4                       0.82
8                       0.81
16                      0.91
32                      0.79
64                      0.79
128                     1.13
256                     1.20
512                     1.47
1024                    1.60
2048                    1.70
4096                    2.01
8192                    3.07
16384                   4.71
32768                   7.51
65536                  12.94
131072                 24.49
262144                 46.73
524288                 89.86
1048576               196.12

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.84
2                       0.83
4                       0.88
8                       0.86
16                      0.86
32                      0.84
64                      0.84
128                     0.93
256                     1.01
512                     1.37
1024                    1.52
2048                    1.79
4096                    2.05
8192                    3.07
16384                   4.65
32768                   8.02
65536                  13.74
131072                 26.78
262144                 50.62
524288                 97.54
1048576               182.09

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.83
2                       0.87
4                       0.85
8                       0.86
16                      0.91
32                      0.86
64                      0.85
128                     0.99
256                     1.15
512                     1.59
1024                    1.58
2048                    1.79
4096                    2.10
8192                    3.11
16384                   4.87
32768                   7.76
65536                  13.69
131072                 25.57
262144                 48.01
524288                 93.72
1048576               193.44

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       1.22
2                       1.20
4                       1.16
8                       1.21
16                      1.16
32                      1.23
64                      1.30
128                     1.15
256                     1.19
512                     1.52
1024                    1.53
2048                    1.73
4096                    2.12
8192                    3.10
16384                   4.77
32768                   7.85
65536                  13.62
131072                 24.97
262144                 45.51
524288                 92.91
1048576               190.32

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.80
2                       0.83
4                       0.83
8                       0.81
16                      0.83
32                      0.86
64                      0.85
128                     1.04
256                     1.10
512                     1.58
1024                    1.61
2048                    1.83
4096                    2.09
8192                    3.00
16384                   4.58
32768                   7.60
65536                  13.19
131072                 23.44
262144                 45.57
524288                 91.13
1048576               185.88

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.86
2                       0.86
4                       0.88
8                       0.96
16                      0.87
32                      0.84
64                      0.88
128                     1.01
256                     1.26
512                     1.56
1024                    1.60
2048                    1.90
4096                    2.11
8192                    2.97
16384                   4.65
32768                   7.65
65536                  13.73
131072                 24.46
262144                 45.76
524288                 93.37
1048576               194.25

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.85
2                       0.94
4                       0.89
8                       0.94
16                      0.95
32                      0.84
64                      0.87
128                     1.01
256                     1.27
512                     1.55
1024                    1.59
2048                    1.77
4096                    2.00
8192                    3.02
16384                   4.60
32768                   7.63
65536                  13.65
131072                 26.45
262144                 47.44
524288                 93.40
1048576               172.84

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.90
2                       0.87
4                       0.97
8                       0.96
16                      0.92
32                      0.91
64                      0.88
128                     1.07
256                     1.18
512                     1.46
1024                    1.60
2048                    1.73
4096                    2.09
8192                    3.13
16384                   4.51
32768                   7.75
65536                  14.24
131072                 26.26
262144                 47.82
524288                 96.08
1048576               194.74

