
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.41
2                       0.41
4                       0.41
8                       0.41
16                      0.41
32                      0.42
64                      0.41
128                     0.50
256                     0.55
512                     0.57
1024                    0.62
2048                    0.82
4096                    1.27
8192                    2.17
16384                   3.56
32768                   7.59
65536                  12.72
131072                 22.81
262144                 41.48
524288                 76.05
1048576               191.86

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.47
2                       0.47
4                       0.49
8                       0.48
16                      0.47
32                      0.47
64                      0.48
128                     0.50
256                     0.52
512                     0.62
1024                    0.64
2048                    0.85
4096                    1.28
8192                    2.11
16384                   3.71
32768                   7.56
65536                  12.61
131072                 22.78
262144                 41.50
524288                 76.42
1048576               187.62

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.43
2                       0.43
4                       0.43
8                       0.43
16                      0.44
32                      0.44
64                      0.44
128                     0.46
256                     0.50
512                     0.58
1024                    0.63
2048                    0.84
4096                    1.27
8192                    2.09
16384                   3.61
32768                   7.51
65536                  12.76
131072                 22.53
262144                 41.31
524288                 75.87
1048576               195.81

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.52
2                       0.48
4                       0.51
8                       0.50
16                      0.48
32                      0.49
64                      0.46
128                     0.47
256                     0.52
512                     0.62
1024                    0.65
2048                    0.85
4096                    1.31
8192                    2.12
16384                   3.55
32768                   7.61
65536                  12.81
131072                 22.63
262144                 41.65
524288                 76.55
1048576               195.92

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.42
2                       0.42
4                       0.42
8                       0.43
16                      0.42
32                      0.42
64                      0.42
128                     0.48
256                     0.51
512                     0.57
1024                    0.61
2048                    0.82
4096                    1.24
8192                    2.21
16384                   4.07
32768                   7.83
65536                  12.80
131072                 22.60
262144                 41.31
524288                 75.30
1048576               194.08

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.44
2                       0.46
4                       0.44
8                       0.45
16                      0.45
32                      0.44
64                      0.44
128                     0.48
256                     0.52
512                     0.60
1024                    0.63
2048                    0.87
4096                    1.34
8192                    2.23
16384                   3.89
32768                   7.73
65536                  12.91
131072                 22.96
262144                 41.88
524288                 75.25
1048576               197.43

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.49
2                       0.48
4                       0.48
8                       0.48
16                      0.47
32                      0.49
64                      0.48
128                     0.50
256                     0.53
512                     0.62
1024                    0.65
2048                    0.86
4096                    1.31
8192                    2.12
16384                   3.61
32768                   7.49
65536                  12.70
131072                 22.50
262144                 41.58
524288                 76.37
1048576               202.90

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.42
2                       0.43
4                       0.42
8                       0.43
16                      0.42
32                      0.43
64                      0.43
128                     0.45
256                     0.51
512                     0.58
1024                    0.62
2048                    0.84
4096                    1.29
8192                    2.19
16384                   3.91
32768                   7.76
65536                  12.96
131072                 22.85
262144                 41.74
524288                 76.75
1048576               196.13

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.42
2                       0.42
4                       0.43
8                       0.43
16                      0.44
32                      0.43
64                      0.44
128                     0.44
256                     0.50
512                     0.58
1024                    0.61
2048                    0.82
4096                    1.25
8192                    2.13
16384                   3.54
32768                   7.71
65536                  12.80
131072                 22.75
262144                 41.67
524288                 76.68
1048576               195.78

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.48
2                       0.46
4                       0.46
8                       0.46
16                      0.46
32                      0.46
64                      0.47
128                     0.49
256                     0.53
512                     0.60
1024                    0.65
2048                    0.84
4096                    1.29
8192                    2.03
16384                   3.46
32768                   7.59
65536                  12.63
131072                 22.55
262144                 41.47
524288                 76.74
1048576               193.44

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.45
2                       0.44
4                       0.44
8                       0.44
16                      0.45
32                      0.44
64                      0.44
128                     0.48
256                     0.51
512                     0.59
1024                    0.63
2048                    0.82
4096                    1.26
8192                    2.19
16384                   4.05
32768                   7.71
65536                  12.74
131072                 22.71
262144                 41.60
524288                 76.18
1048576               197.50

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.45
2                       0.43
4                       0.43
8                       0.44
16                      0.43
32                      0.43
64                      0.43
128                     0.46
256                     0.50
512                     0.60
1024                    0.62
2048                    0.83
4096                    1.24
8192                    1.89
16384                   3.39
32768                   7.55
65536                  12.74
131072                 22.66
262144                 41.41
524288                 74.67
1048576               198.35

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.44
2                       0.44
4                       0.44
8                       0.44
16                      0.44
32                      0.44
64                      0.44
128                     0.47
256                     0.52
512                     0.60
1024                    0.60
2048                    0.84
4096                    1.28
8192                    2.23
16384                   3.87
32768                   7.68
65536                  12.89
131072                 22.87
262144                 41.75
524288                 75.72
1048576               188.35

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.44
2                       0.43
4                       0.42
8                       0.43
16                      0.43
32                      0.43
64                      0.43
128                     0.45
256                     0.47
512                     0.56
1024                    0.62
2048                    0.85
4096                    1.31
8192                    2.23
16384                   4.00
32768                   7.55
65536                  12.86
131072                 22.68
262144                 41.58
524288                 75.72
1048576               195.79

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.50
2                       0.49
4                       0.49
