
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.31
2                       0.31
4                       0.31
8                       0.31
16                      0.31
32                      0.31
64                      0.30
128                     0.32
256                     0.41
512                     0.49
1024                    0.65
2048                    0.83
4096                    1.15
8192                    1.77
16384                   3.09
32768                   5.56
65536                   9.56
131072                 17.79
262144                 33.98
524288                 61.56
1048576               173.57

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.28
2                       0.28
4                       0.29
8                       0.28
16                      0.28
32                      0.29
64                      0.28
128                     0.31
256                     0.39
512                     0.50
1024                    0.63
2048                    0.81
4096                    1.10
8192                    1.76
16384                   2.99
32768                   5.58
65536                   9.33
131072                 17.38
262144                 33.30
524288                 62.56
1048576               171.00

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.29
2                       0.29
4                       0.29
8                       0.29
16                      0.29
32                      0.29
64                      0.29
128                     0.32
256                     0.42
512                     0.49
1024                    0.64
2048                    0.79
4096                    1.10
8192                    1.75
16384                   2.99
32768                   5.45
65536                   9.47
131072                 17.43
262144                 33.50
524288                 62.68
1048576               170.35

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.29
2                       0.29
4                       0.29
8                       0.30
16                      0.29
32                      0.30
64                      0.29
128                     0.32
256                     0.39
512                     0.50
1024                    0.67
2048                    0.82
4096                    1.14
8192                    1.80
16384                   3.02
32768                   5.54
65536                   9.44
131072                 17.69
262144                 33.84
524288                 64.53
1048576               167.27

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.31
2                       0.31
4                       0.31
8                       0.32
16                      0.31
32                      0.31
64                      0.31
128                     0.35
256                     0.41
512                     0.51
1024                    0.63
2048                    0.79
4096                    1.11
8192                    1.74
16384                   3.04
32768                   5.49
65536                   9.45
131072                 17.23
262144                 33.97
524288                 61.53
1048576               171.95

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.33
2                       0.32
4                       0.32
8                       0.32
16                      0.32
32                      0.32
64                      0.32
128                     0.33
256                     0.42
512                     0.49
1024                    0.64
2048                    0.80
4096                    1.12
8192                    1.74
16384                   2.96
32768                   5.42
65536                   9.35
131072                 17.32
262144                 33.70
524288                 60.93
1048576               166.10

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.31
2                       0.30
4                       0.30
8                       0.31
16                      0.30
32                      0.31
64                      0.30
128                     0.33
256                     0.41
512                     0.51
1024                    0.66
2048                    0.81
4096                    1.13
8192                    1.75
16384                   2.96
32768                   5.48
65536                   9.30
131072                 17.76
262144                 33.83
524288                 61.91
1048576               170.88

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.30
2                       0.30
4                       0.29
8                       0.29
16                      0.29
32                      0.29
64                      0.29
128                     0.32
256                     0.40
512                     0.50
1024                    0.65
2048                    0.80
4096                    1.15
8192                    1.73
16384                   3.10
32768                   5.50
65536                   9.74
131072                 18.05
262144                 33.90
524288                 63.21
1048576               175.73

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.28
2                       0.29
4                       0.29
8                       0.29
16                      0.29
32                      0.29
64                      0.29
128                     0.31
256                     0.42
512                     0.52
1024                    0.65
2048                    0.79
4096                    1.10
8192                    1.72
16384                   3.04
32768                   5.47
65536                   9.43
131072                 17.47
262144                 33.68
524288                 61.96
1048576               169.73

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.29
2                       0.30
4                       0.29
8                       0.30
16                      0.29
32                      0.29
64                      0.29
128                     0.33
256                     0.43
512                     0.48
1024                    0.67
2048                    0.83
4096                    1.12
8192                    1.74
16384                   3.03
32768                   5.53
65536                   9.42
131072                 17.62
262144                 33.85
524288                 61.72
1048576               165.36

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.33
2                       0.33
4                       0.33
8                       0.32
16                      0.34
32                      0.32
64                      0.33
128                     0.34
256                     0.43
512                     0.48
1024                    0.68
2048                    0.82
4096                    1.15
8192                    1.78
16384                   3.04
32768                   5.47
65536                   9.52
131072                 17.96
262144                 34.53
524288                 63.33
1048576               169.95

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.30
2                       0.30
4                       0.31
8                       0.30
16                      0.31
32                      0.31
64                      0.30
128                     0.32
256                     0.43
512                     0.48
