
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.30
2                       0.30
4                       0.31
8                       0.31
16                      0.31
32                      0.31
64                      0.31
128                     0.31
256                     0.39
512                     0.56
1024                    0.64
2048                    0.80
4096                    1.12
8192                    1.74
16384                   3.01
32768                   5.56
65536                   9.26
131072                 16.94
262144                 32.76
524288                 61.35
1048576               164.27

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.33
2                       0.32
4                       0.32
8                       0.32
16                      0.32
32                      0.32
64                      0.32
128                     0.32
256                     0.40
512                     0.53
1024                    0.64
2048                    0.81
4096                    1.12
8192                    1.72
16384                   2.95
32768                   5.44
65536                   9.20
131072                 17.29
262144                 32.95
524288                 60.90
1048576               168.78

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.31
2                       0.31
4                       0.31
8                       0.31
16                      0.31
32                      0.31
64                      0.31
128                     0.30
256                     0.40
512                     0.55
1024                    0.64
2048                    0.79
4096                    1.12
8192                    1.74
16384                   3.01
32768                   5.48
65536                   9.18
131072                 17.00
262144                 32.96
524288                 61.20
1048576               171.94

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.30
2                       0.31
4                       0.30
8                       0.30
16                      0.30
32                      0.31
64                      0.30
128                     0.31
256                     0.38
512                     0.54
1024                    0.64
2048                    0.80
4096                    1.13
8192                    1.77
16384                   2.98
32768                   5.41
65536                   9.35
131072                 17.21
262144                 32.91
524288                 58.46
1048576               170.65

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.30
2                       0.30
4                       0.29
8                       0.29
16                      0.30
32                      0.29
64                      0.30
128                     0.31
256                     0.40
512                     0.54
1024                    0.63
2048                    0.79
4096                    1.12
8192                    1.75
16384                   3.04
32768                   5.57
65536                   9.22
131072                 17.14
262144                 32.71
524288                 59.01
1048576               161.17

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.30
2                       0.30
4                       0.30
8                       0.30
16                      0.29
32                      0.29
64                      0.30
128                     0.31
256                     0.37
512                     0.54
1024                    0.62
2048                    0.79
4096                    1.12
8192                    1.73
16384                   2.98
32768                   5.44
65536                   9.15
131072                 17.05
262144                 32.65
524288                 60.02
1048576               165.44

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.32
2                       0.31
4                       0.31
8                       0.31
16                      0.31
32                      0.31
64                      0.31
128                     0.30
256                     0.35
512                     0.53
1024                    0.63
2048                    0.78
4096                    1.10
8192                    1.72
16384                   2.98
32768                   5.35
65536                   9.17
131072                 17.03
262144                 32.57
524288                 57.54
1048576               158.83

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.31
2                       0.31
4                       0.31
8                       0.31
16                      0.31
32                      0.31
64                      0.31
128                     0.30
256                     0.37
512                     0.55
1024                    0.66
2048                    0.81
4096                    1.14
8192                    1.77
16384                   3.01
32768                   5.44
65536                   9.24
131072                 17.11
