
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.32
2                       0.31
4                       0.31
8                       0.31
16                      0.31
32                      0.31
64                      0.31
128                     0.30
256                     0.37
512                     0.51
1024                    0.64
2048                    0.93
4096                    1.32
8192                    1.82
16384                   3.02
32768                   5.42
65536                   8.97
131072                 16.80
262144                 32.48
524288                 61.95
1048576               162.52

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.31
2                       0.31
4                       0.30
8                       0.30
16                      0.30
32                      0.30
64                      0.30
128                     0.30
256                     0.40
512                     0.55
1024                    0.62
2048                    0.90
4096                    1.32
8192                    1.81
16384                   3.04
32768                   5.42
65536                   9.13
131072                 16.72
262144                 32.40
524288                 61.43
1048576               165.65

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.29
2                       0.30
4                       0.30
8                       0.30
16                      0.30
32                      0.30
64                      0.30
128                     0.32
256                     0.37
512                     0.53
1024                    0.63
2048                    0.93
4096                    1.33
8192                    1.84
16384                   3.11
32768                   5.45
65536                   9.19
131072                 16.82
262144                 32.34
524288                 60.35
1048576               171.16

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.31
2                       0.31
4                       0.31
8                       0.31
16                      0.31
32                      0.30
64                      0.31
128                     0.28
256                     0.36
512                     0.53
1024                    0.64
2048                    0.93
4096                    1.32
8192                    1.83
16384                   3.04
32768                   5.40
65536                   9.02
131072                 16.76
262144                 32.40
524288                 58.29
1048576               169.76

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.31
2                       0.31
4                       0.31
8                       0.30
16                      0.30
32                      0.31
64                      0.30
128                     0.31
256                     0.38
512                     0.54
1024                    0.66
2048                    0.92
4096                    1.31
8192                    1.81
16384                   3.07
32768                   5.41
65536                   8.95
131072                 16.75
262144                 32.52
524288                 59.82
1048576               165.89

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.32
2                       0.32
4                       0.32
8                       0.32
16                      0.33
32                      0.32
64                      0.33
128                     0.31
256                     0.40
512                     0.56
1024                    0.65
2048                    0.95
4096                    1.34
8192                    1.87
16384                   3.06
32768                   5.53
65536                   9.06
131072                 16.88
262144                 32.55
524288                 58.93
1048576               171.09

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.31
2                       0.30
4                       0.31
8                       0.30
16                      0.31
32                      0.30
64                      0.31
128                     0.30
256                     0.37
512                     0.53
1024                    0.65
2048                    0.95
4096                    1.37
8192                    1.88
16384                   3.08
32768                   5.53
65536                   9.13
131072                 16.81
262144                 32.39
524288                 59.76
1048576               164.45

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.31
2                       0.31
4                       0.31
8                       0.30
16                      0.31
32                      0.31
64                      0.31
128                     0.31
256                     0.37
512                     0.55
1024                    0.65
2048                    0.92
4096                    1.32
8192                    1.82
16384                   3.10
32768                   5.47
65536                   8.97
131072                 16.71
262144                 32.14
524288                 59.05
1048576               166.40

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.29
2                       0.30
4                       0.29
8                       0.29
16                      0.29
32                      0.30
64                      0.29
128                     0.29
256                     0.38
512                     0.52
1024                    0.62
2048                    0.90
4096                    1.33
8192                    1.81
16384                   2.99
32768                   5.45
65536                   9.08
131072                 16.85
262144                 32.52
524288                 62.50
1048576               164.19

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.31
2                       0.30
4                       0.31
8                       0.30
16                      0.30
32                      0.31
64                      0.31
128                     0.29
256                     0.36
512                     0.56
1024                    0.64
2048                    0.92
4096                    1.33
8192                    1.85
16384                   3.04
32768                   5.50
65536                   9.16
131072                 16.77
262144                 32.74
524288                 58.60
1048576               157.22

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.28
2                       0.29
4                       0.29
8                       0.29
16                      0.29
32                      0.29
64                      0.29
128                     0.32
256                     0.38
512                     0.52
1024                    0.63
2048                    0.92
4096                    1.33
8192                    1.83
16384                   3.07
32768                   5.40
65536                   9.07
131072                 16.84
262144                 32.67
524288                 60.37
1048576               178.45

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.31
2                       0.30
4                       0.31
8                       0.31
16                      0.30
32                      0.31
64                      0.31
128                     0.31
256                     0.39
512                     0.53
1024                    0.64
2048                    0.92
4096                    1.33
8192                    1.82
16384                   3.10
32768                   5.44
65536                   9.07
131072                 16.81
262144                 32.63
524288                 60.04
1048576               167.70

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.30
2                       0.30
