
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.49
2                       0.49
4                       0.49
8                       0.49
16                      0.49
32                      0.50
64                      0.50
128                     0.51
256                     0.57
512                     0.60
1024                    0.66
2048                    0.81
4096                    1.12
8192                    1.75
16384                   3.02
32768                   5.41
65536                   9.10
131072                 17.01
262144                 32.85
524288                 59.94
1048576               162.14

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.46
2                       0.45
4                       0.45
8                       0.45
16                      0.45
32                      0.45
64                      0.45
128                     0.47
256                     0.56
512                     0.62
1024                    0.63
2048                    0.78
4096                    1.12
8192                    1.72
16384                   3.06
32768                   5.46
65536                   9.18
131072                 17.08
262144                 32.75
524288                 61.72
1048576               163.16

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.45
2                       0.45
4                       0.45
8                       0.45
16                      0.45
32                      0.45
64                      0.45
128                     0.48
256                     0.52
512                     0.59
1024                    0.64
2048                    0.79
4096                    1.07
8192                    1.71
16384                   2.98
32768                   5.43
65536                   9.07
131072                 17.04
262144                 33.23
524288                 60.46
1048576               171.30

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.50
2                       0.50
4                       0.49
8                       0.49
16                      0.49
32                      0.50
64                      0.50
128                     0.52
256                     0.55
512                     0.63
1024                    0.65
2048                    0.78
4096                    1.10
8192                    1.71
16384                   2.97
32768                   5.43
65536                   9.09
131072                 16.84
262144                 32.53
524288                 59.65
1048576               164.25

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.45
2                       0.46
4                       0.46
8                       0.45
16                      0.45
32                      0.46
64                      0.46
128                     0.48
256                     0.52
512                     0.56
1024                    0.64
2048                    0.79
4096                    1.08
8192                    1.71
16384                   3.00
32768                   5.46
65536                   9.14
131072                 17.02
262144                 32.62
524288                 59.99
1048576               157.04

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.49
2                       0.43
4                       0.44
8                       0.44
16                      0.44
32                      0.44
64                      0.43
128                     0.50
256                     0.53
512                     0.59
1024                    0.62
2048                    0.77
4096                    1.09
8192                    1.71
16384                   2.94
32768                   5.36
65536                   9.16
131072                 17.21
262144                 32.98
524288                 59.13
1048576               167.11

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.46
2                       0.46
4                       0.45
8                       0.46
16                      0.46
32                      0.46
64                      0.45
128                     0.49
256                     0.54
512                     0.61
1024                    0.63
2048                    0.79
4096                    1.10
8192                    1.70
16384                   3.01
32768                   5.47
65536                   9.17
131072                 17.04
262144                 32.70
524288                 60.54
1048576               167.98

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.47
2                       0.48
4                       0.47
8                       0.48
16                      0.47
32                      0.47
64                      0.47
128                     0.50
256                     0.54
512                     0.59
1024                    0.64
2048                    0.81
4096                    1.11
8192                    1.72
16384                   3.02
32768                   5.45
65536                   9.09
131072                 17.00
262144                 32.66
