
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.51
2                       0.50
4                       0.49
8                       0.49
16                      0.49
32                      0.50
64                      0.51
128                     0.58
256                     0.71
512                     0.83
1024                    0.76
2048                    0.93
4096                    1.33
8192                    2.09
16384                   3.60
32768                   6.82
65536                  11.67
131072                 22.38
262144                 44.55
524288                 88.56
1048576               202.79

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.51
2                       0.51
4                       0.50
8                       0.51
16                      0.51
32                      0.50
64                      0.51
128                     0.58
256                     0.60
512                     0.67
1024                    0.73
2048                    0.91
4096                    1.32
8192                    2.08
16384                   3.61
32768                   6.78
65536                  11.28
131072                 20.91
262144                 40.65
524288                 80.55
1048576               190.51

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.52
2                       0.52
4                       0.53
8                       0.52
16                      0.52
32                      0.52
64                      0.52
128                     0.55
256                     0.58
512                     0.62
1024                    0.74
2048                    0.92
4096                    1.32
8192                    2.07
16384                   3.61
32768                   6.79
65536                  11.67
131072                 22.21
262144                 43.45
524288                 85.79
1048576               198.52

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.54
2                       0.53
4                       0.53
8                       0.53
16                      0.53
32                      0.53
64                      0.53
128                     0.56
256                     0.58
512                     0.66
1024                    0.77
2048                    0.96
4096                    1.36
8192                    2.11
16384                   3.63
32768                   6.74
65536                  11.34
131072                 21.04
262144                 40.79
524288                 80.97
1048576               191.41

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.50
2                       0.50
4                       0.50
8                       0.50
16                      0.50
32                      0.50
64                      0.50
128                     0.52
256                     0.55
512                     0.60
1024                    0.75
2048                    0.93
4096                    1.34
8192                    2.08
16384                   3.61
32768                   6.67
65536                  11.31
131072                 21.07
262144                 41.26
524288                 81.55
1048576               194.00

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.52
2                       0.51
4                       0.51
8                       0.52
16                      0.53
32                      0.52
64                      0.52
128                     0.55
256                     0.58
512                     0.68
1024                    0.74
2048                    0.94
4096                    1.34
8192                    2.12
16384                   3.59
32768                   6.74
65536                  11.57
131072                 21.90
262144                 43.12
524288                 85.12
1048576               198.51

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.50
2                       0.50
4                       0.49
8                       0.50
16                      0.50
32                      0.49
64                      0.50
128                     0.52
256                     0.55
512                     0.62
1024                    0.76
2048                    0.95
4096                    1.34
8192                    2.11
16384                   3.62
32768                   6.74
65536                  11.31
131072                 21.28
262144                 41.38
524288                 81.64
1048576               191.46

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.60
2                       0.55
4                       0.55
8                       0.55
16                      0.55
32                      0.55
64                      0.55
128                     0.58
256                     0.60
512                     0.69
1024                    0.76
2048                    0.95
4096                    1.35
8192                    2.09
16384                   3.59
32768                   6.66
65536                  11.31
131072                 21.03
262144                 41.03
524288                 80.89
1048576               193.25

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.51
2                       0.50
4                       0.50
8                       0.50
16                      0.50
32                      0.50
64                      0.51
128                     0.53
256                     0.61
512                     0.75
1024                    0.76
2048                    0.96
4096                    1.35
8192                    2.13
16384                   3.63
32768                   6.77
65536                  11.42
131072                 21.51
262144                 41.77
524288                 82.61
1048576               190.91

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.57
2                       0.51
4                       0.51
8                       0.50
16                      0.50
32                      0.50
64                      0.50
128                     0.53
256                     0.56
512                     0.64
1024                    0.78
2048                    0.97
4096                    1.37
8192                    2.09
16384                   3.59
32768                   6.75
65536                  11.41
131072                 21.36
262144                 41.35
524288                 81.93
1048576               194.36

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.49
2                       0.49
4                       0.53
8                       0.49
16                      0.49
32                      0.50
64                      0.50
128                     0.52
256                     0.60
512                     0.78
1024                    0.76
2048                    0.94
4096                    1.35
8192                    2.12
16384                   3.60
32768                   6.73
65536                  11.68
131072                 22.44
262144                 44.30
524288                 88.45
1048576               205.05

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.51
2                       0.50
4                       0.51
8                       0.51
16                      0.51
32                      0.50
64                      0.52
128                     0.54
256                     0.57
512                     0.67
1024                    0.80
2048                    0.95
4096                    1.35
8192                    2.09
16384                   3.60
32768                   6.74
65536                  11.32
131072                 21.14
262144                 40.99
524288                 81.31
1048576               189.92

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.51
2                       0.50
4                       0.51
8                       0.50
16                      0.50
32                      0.50
64                      0.51
128                     0.54
256                     0.59
512                     0.70
1024                    0.77
2048                    0.94
4096                    1.35
8192                    2.10
16384                   3.61
32768                   6.72
65536                  11.33
131072                 21.25
262144                 41.30
524288                 81.35
1048576               190.43

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.55
2                       0.55
4                       0.54
8                       0.54
16                      0.54
32                      0.55
64                      0.55
128                     0.57
256                     0.61
512                     0.66
1024                    0.77
2048                    0.94
4096                    1.35
8192                    2.09
16384                   3.57
32768                   6.66
65536                  11.30
131072                 21.18
262144                 41.25
524288                 81.53
1048576               192.31

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.52
2                       0.51
4                       0.51
8                       0.51
16                      0.51
32                      0.51
64                      0.53
128                     0.53
256                     0.56
512                     0.64
1024                    0.77
2048                    0.96
4096                    1.36
8192                    2.10
16384                   3.59
32768                   6.63
65536                  11.33
131072                 21.06
262144                 41.21
524288                 81.29
1048576               194.00

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.52
2                       0.51
4                       0.50
8                       0.50
16                      0.50
32                      0.51
64                      0.50
128                     0.57
256                     0.59
512                     0.67
1024                    0.73
2048                    0.94
4096                    1.33
8192                    2.08
16384                   3.57
32768                   6.73
65536                  11.51
131072                 21.93
262144                 43.16
524288                 85.33
1048576               198.14

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.50
2                       0.50
4                       0.50
8                       0.51
16                      0.50
32                      0.51
64                      0.51
128                     0.54
256                     0.55
512                     0.65
1024                    0.74
2048                    0.93
4096                    1.34
8192                    2.07
16384                   3.60
32768                   6.72
65536                  11.53
131072                 21.72
262144                 42.60
524288                 84.26
1048576               196.95

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.52
2                       0.51
4                       0.50
8                       0.51
16                      0.51
32                      0.50
64                      0.51
128                     0.54
256                     0.59
512                     0.64
1024                    0.75
2048                    0.95
4096                    1.35
8192                    2.10
16384                   3.62
32768                   6.75
65536                  11.34
131072                 21.25
262144                 41.82
524288                 82.55
1048576               196.77

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.51
2                       0.50
4                       0.50
8                       0.50
16                      0.50
32                      0.50
64                      0.51
128                     0.54
256                     0.57
512                     0.62
1024                    0.75
2048                    0.95
4096                    1.37
8192                    2.11
16384                   3.62
32768                   6.70
65536                  11.23
131072                 20.85
262144                 40.15
524288                 78.97
1048576               186.97

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.50
2                       0.50
4                       0.50
8                       0.50
16                      0.51
32                      0.50
64                      0.50
128                     0.52
256                     0.62
512                     0.73
1024                    0.75
2048                    0.94
4096                    1.34
8192                    2.11
16384                   3.66
32768                   6.73
65536                  11.34
131072                 21.34
262144                 42.04
524288                 84.01
1048576               195.97

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.52
2                       0.51
4                       0.51
8                       0.51
16                      0.52
32                      0.50
64                      0.51
128                     0.54
256                     0.58
512                     0.66
1024                    0.75
2048                    0.94
4096                    1.35
8192                    2.11
16384                   3.67
32768                   6.75
65536                  11.61
131072                 22.29
262144                 44.09
524288                 88.12
1048576               202.06

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.51
2                       0.49
4                       0.50
8                       0.50
16                      0.50
32                      0.51
64                      0.50
128                     0.53
256                     0.55
512                     0.65
1024                    0.75
2048                    0.93
4096                    1.36
8192                    2.11
16384                   3.66
32768                   6.73
65536                  11.28
131072                 21.13
262144                 41.24
524288                 81.22
1048576               192.54

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.51
2                       0.51
4                       0.51
8                       0.53
16                      0.51
32                      0.51
64                      0.52
128                     0.54
256                     0.59
512                     0.71
1024                    0.76
2048                    0.96
4096                    1.35
8192                    2.11
16384                   3.64
32768                   6.61
65536                  11.36
131072                 21.15
262144                 41.21
524288                 81.37
1048576               193.85

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.51
2                       0.51
4                       0.51
8                       0.52
16                      0.52
32                      0.52
64                      0.52
128                     0.54
256                     0.57
512                     0.63
1024                    0.78
2048                    0.97
4096                    1.35
8192                    2.10
16384                   3.64
32768                   6.77
65536                  11.29
131072                 21.25
262144                 41.47
524288                 81.73
1048576               194.41

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.52
2                       0.51
4                       0.51
8                       0.51
16                      0.51
32                      0.53
64                      0.51
128                     0.54
256                     0.63
512                     0.75
1024                    0.75
2048                    0.94
4096                    1.32
8192                    2.10
16384                   3.64
32768                   6.71
65536                  11.26
131072                 21.19
262144                 41.03
524288                 81.42
1048576               192.64

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.51
2                       0.52
4                       0.53
8                       0.53
16                      0.52
32                      0.53
64                      0.53
128                     0.54
256                     0.57
512                     0.63
1024                    0.74
2048                    0.93
4096                    1.34
8192                    2.09
16384                   3.61
32768                   6.63
65536                  11.18
131072                 20.76
262144                 40.01
524288                 78.92
1048576               187.58

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.51
2                       0.51
4                       0.51
8                       0.50
16                      0.51
32                      0.51
64                      0.51
128                     0.54
256                     0.56
512                     0.64
1024                    0.76
2048                    0.95
4096                    1.35
8192                    2.11
16384                   3.59
32768                   6.62
65536                  11.27
131072                 21.17
262144                 41.05
524288                 81.09
1048576               191.88

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.50
2                       0.50
4                       0.50
8                       0.50
16                      0.50
32                      0.50
64                      0.50
128                     0.55
256                     0.58
512                     0.65
1024                    0.75
2048                    0.95
4096                    1.35
8192                    2.09
16384                   3.60
32768                   6.60
65536                  11.22
131072                 20.95
262144                 40.21
524288                 79.05
1048576               188.00

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.51
2                       0.52
4                       0.51
8                       0.51
16                      0.51
32                      0.51
64                      0.51
128                     0.53
256                     0.57
512                     0.64
1024                    0.76
2048                    0.93
4096                    1.35
8192                    2.11
16384                   3.64
32768                   6.83
65536                  11.57
131072                 22.24
262144                 44.19
524288                 88.68
1048576               203.24

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.50
2                       0.50
4                       0.50
8                       0.49
16                      0.49
32                      0.49
64                      0.49
128                     0.50
256                     0.54
512                     0.68
1024                    0.74
2048                    0.94
4096                    1.32
8192                    2.12
16384                   3.62
32768                   6.72
65536                  11.32
131072                 21.49
262144                 42.20
524288                 83.76
1048576               198.75
