
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.63
2                       0.65
4                       0.61
8                       0.58
16                      0.65
32                      0.50
64                      0.49
128                     0.66
256                     0.57
512                     0.72
1024                    0.77
2048                    0.96
4096                    1.31
8192                    2.01
16384                   3.86
32768                   8.27
65536                  15.29
131072                 30.42
262144                 59.55
524288                118.95
1048576               237.96

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.57
2                       0.54
4                       0.52
8                       0.51
16                      0.51
32                      0.52
64                      0.52
128                     0.57
256                     0.61
512                     0.92
1024                    0.86
2048                    1.07
4096                    1.34
8192                    2.14
16384                   3.73
32768                   8.04
65536                  14.91
131072                 28.35
262144                 55.61
524288                111.20
1048576               221.28

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.65
2                       0.62
4                       0.60
8                       0.61
16                      0.66
32                      0.58
64                      0.56
128                     0.72
256                     0.68
512                     0.76
1024                    0.82
2048                    1.10
4096                    1.37
8192                    2.22
16384                   3.89
32768                   8.22
65536                  15.12
131072                 28.91
262144                 56.28
524288                112.20
1048576               226.33

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.58
2                       0.62
4                       0.58
8                       0.54
16                      0.57
32                      0.51
64                      0.52
128                     0.65
256                     0.64
512                     0.93
1024                    0.79
2048                    1.05
4096                    1.41
8192                    2.31
16384                   4.17
32768                   8.00
65536                  15.35
131072                 29.84
262144                 59.18
524288                118.21
1048576               238.02

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.65
2                       0.67
4                       0.63
8                       0.63
16                      0.62
32                      0.52
64                      0.53
128                     0.55
256                     0.64
512                     0.75
1024                    0.79
2048                    1.04
4096                    1.47
8192                    2.41
16384                   4.32
32768                   8.71
65536                  17.17
131072                 32.82
262144                 65.30
524288                131.05
1048576               256.48

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.54
2                       0.61
4                       0.61
8                       0.61
16                      0.55
32                      0.50
64                      0.51
128                     0.54
256                     0.58
512                     0.91
1024                    0.83
2048                    1.12
4096                    1.41
8192                    2.32
16384                   4.27
32768                   8.23
65536                  15.25
131072                 30.03
262144                 58.88
524288                116.92
1048576               238.16

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.53
2                       0.57
4                       0.57
8                       0.65
16                      0.53
32                      0.56
64                      0.55
128                     0.68
256                     0.68
512                     0.80
1024                    0.81
2048                    0.99
4096                    1.31
8192                    2.01
16384                   3.92
32768                   8.14
65536                  15.07
131072                 28.48
262144                 56.38
524288                113.77
1048576               228.49

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.52
2                       0.50
4                       0.51
8                       0.51
16                      0.52
32                      0.54
64                      0.55
128                     0.62
256                     0.61
512                     0.94
1024                    0.75
2048                    1.04
4096                    1.35
8192                    2.19
16384                   4.02
32768                   7.99
65536                  14.53
131072                 29.22
262144                 56.32
524288                112.89
1048576               223.16

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.52
2                       0.56
4                       0.56
8                       0.55
16                      0.55
32                      0.53
64                      0.54
128                     0.65
256                     0.62
512                     0.75
1024                    0.79
2048                    0.99
4096                    1.35
8192                    2.20
16384                   3.93
32768                   8.23
65536                  15.08
131072                 29.60
262144                 56.54
524288                112.33
1048576               223.55

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.50
2                       0.54
4                       0.57
8                       0.50
16                      0.55
32                      0.51
64                      0.50
128                     0.55
256                     0.62
512                     0.86
1024                    0.78
2048                    0.96
4096                    1.28
8192                    2.03
16384                   3.58
32768                   8.03
65536                  15.09
131072                 29.48
262144                 55.31
524288                110.96
1048576               223.80

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.52
2                       0.70
4                       0.60
8                       0.52
16                      0.52
32                      0.52
64                      0.53
128                     0.54
256                     0.65
512                     0.95
1024                    0.78
2048                    0.99
4096                    1.37
8192                    2.26
16384                   4.25
32768                   8.30
65536                  15.21
131072                 28.43
262144                 56.31
524288                110.95
1048576               223.06

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.55
2                       0.55
4                       0.52
8                       0.52
16                      0.51
32                      0.50
64                      0.50
128                     0.55
256                     0.59
512                     0.73
1024                    0.80
2048                    1.01
4096                    1.39
8192                    2.30
16384                   4.21
32768                   8.48
65536                  15.64
131072                 30.72
262144                 59.96
524288                116.90
1048576               229.53

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.60
2                       0.64
4                       0.65
8                       0.59
16                      0.60
32                      0.56
64                      0.52
128                     0.59
256                     0.67
512                     0.73
1024                    0.82
2048                    0.97
4096                    1.36
8192                    2.09
16384                   3.74
32768                   8.18
65536                  15.66
131072                 30.28
262144                 58.42
524288                118.70
1048576               235.24

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.50
2                       0.52
4                       0.50
8                       0.52
16                      0.54
32                      0.52
64                      0.55
128                     0.57
256                     0.60
512                     0.71
1024                    0.79
2048                    1.02
4096                    1.40
8192                    2.30
16384                   4.15
32768                   8.60
65536                  16.91
131072                 32.70
262144                 65.23
524288                130.67
1048576               258.59

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.72
2                       0.66
4                       0.70
8                       0.64
16                      0.65
32                      0.55
64                      0.52
128                     0.70
256                     0.60
512                     0.81
1024                    0.77
2048                    1.06
4096                    1.36
8192                    2.25
16384                   4.11
32768                   8.24
65536                  14.77
131072                 29.56
262144                 58.42
524288                119.86
1048576               234.42

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.52
2                       0.58
4                       0.57
8                       0.56
16                      0.56
32                      0.52
64                      0.50
128                     0.55
256                     0.69
512                     0.78
1024                    0.79
2048                    0.97
4096                    1.41
8192                    1.98
16384                   3.71
32768                   8.16
65536                  14.90
131072                 28.34
262144                 56.07
524288                112.68
1048576               228.17

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
