
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.36
2                       0.36
4                       0.41
8                       0.33
16                      0.35
32                      0.37
64                      0.36
128                     0.44
256                     0.50
512                     0.92
1024                    0.93
2048                    1.09
4096                    1.40
8192                    2.08
16384                   3.51
32768                   6.66
65536                  12.48
131072                 24.13
262144                 48.27
524288                 94.65
1048576               188.76

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.45
2                       0.51
4                       0.40
8                       0.41
16                      0.37
32                      0.42
64                      0.49
128                     0.54
256                     0.75
512                     1.04
1024                    0.93
2048                    1.13
4096                    1.38
8192                    2.10
16384                   3.42
32768                   6.83
65536                  13.02
131072                 24.64
262144                 48.02
524288                 95.90
1048576               189.83

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.38
2                       0.38
4                       0.37
8                       0.43
16                      0.37
32                      0.41
64                      0.39
128                     0.57
256                     0.52
512                     0.84
1024                    1.00
2048                    1.24
4096                    1.47
8192                    2.11
16384                   3.43
32768                   6.56
65536                  12.00
131072                 22.79
262144                 43.62
524288                 90.99
1048576               185.16

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.40
2                       0.37
4                       0.38
8                       0.38
16                      0.39
32                      0.42
64                      0.44
128                     0.48
256                     0.59
512                     0.96
1024                    0.97
2048                    1.20
4096                    1.54
8192                    2.23
16384                   3.80
32768                   6.91
65536                  12.83
131072                 25.02
262144                 48.80
524288                 96.44
1048576               192.77

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.34
2                       0.34
4                       0.33
8                       0.34
16                      0.34
32                      0.36
64                      0.36
128                     0.64
256                     0.63
512                     0.93
1024                    1.02
2048                    1.21
4096                    1.51
8192                    2.34
16384                   3.64
32768                   6.81
65536                  12.97
131072                 25.50
262144                 48.96
524288                 98.38
1048576               191.97

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.37
2                       0.38
4                       0.36
8                       0.35
16                      0.38
32                      0.40
64                      0.40
128                     0.47
256                     0.64
512                     0.89
1024                    0.91
2048                    1.09
4096                    1.40
8192                    2.18
16384                   3.59
32768                   6.73
65536                  12.45
131072                 24.19
262144                 47.70
524288                 94.72
1048576               187.14

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.43
2                       0.39
4                       0.40
8                       0.38
16                      0.42
32                      0.48
64                      0.45
128                     0.50
256                     0.54
512                     0.92
1024                    0.88
2048                    1.04
4096                    1.33
8192                    2.13
16384                   3.53
32768                   6.98
65536                  12.80
131072                 24.48
262144                 47.92
524288                 95.08
1048576               188.14

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.38
2                       0.36
4                       0.45
8                       0.38
16                      0.36
32                      0.40
64                      0.37
128                     0.59
256                     0.51
512                     0.93
1024                    0.94
2048                    1.08
4096                    1.35
8192                    2.11
16384                   3.65
32768                   6.61
65536                  12.49
131072                 25.01
262144                 48.41
524288                 95.12
1048576               187.41

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.34
2                       0.39
4                       0.36
8                       0.34
16                      0.37
32                      0.38
64                      0.39
128                     0.48
256                     0.58
512                     0.91
1024                    1.01
2048                    1.24
4096                    1.50
8192                    2.21
16384                   3.66
32768                   6.72
65536                  12.73
131072                 25.02
262144                 48.92
524288                 98.38
1048576               191.91

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.36
2                       0.35
4                       0.33
8                       0.36
16                      0.35
32                      0.35
64                      0.36
128                     0.46
256                     0.55
512                     0.87
1024                    0.88
2048                    1.04
4096                    1.43
8192                    2.06
16384                   3.46
32768                   6.76
65536                  12.64
131072                 24.67
262144                 48.39
524288                 97.10
1048576               189.31

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.39
2                       0.45
4                       0.46
8                       0.43
16                      0.44
32                      0.50
64                      0.40
128                     0.47
256                     0.71
512                     0.99
1024                    0.88
2048                    1.03
4096                    1.32
8192                    2.05
16384                   3.42
32768                   6.79
65536                  12.62
131072                 24.59
262144                 48.31
524288                 95.20
