
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.42
2                       0.46
4                       0.41
8                       0.41
16                      0.41
32                      0.45
64                      0.50
128                     0.58
256                     0.71
512                     1.05
1024                    1.04
2048                    1.19
4096                    1.39
8192                    2.11
16384                   3.65
32768                   6.30
65536                  11.05
131072                 20.69
262144                 39.88
524288                 78.64
1048576               157.32

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.36
2                       0.46
4                       0.35
8                       0.41
16                      0.40
32                      0.43
64                      0.38
128                     0.60
256                     0.92
512                     1.05
1024                    0.94
2048                    1.22
4096                    1.46
8192                    2.21
16384                   3.72
32768                   6.37
65536                  11.05
131072                 20.56
262144                 42.86
524288                 86.47
1048576               169.34

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.40
2                       0.48
4                       0.39
8                       0.40
16                      0.41
32                      0.42
64                      0.42
128                     0.58
256                     0.80
512                     1.09
1024                    0.95
2048                    1.14
4096                    1.41
8192                    2.16
16384                   3.63
32768                   6.36
65536                  11.09
131072                 20.50
262144                 39.65
524288                 79.39
1048576               159.95

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.44
2                       0.48
4                       0.37
8                       0.39
16                      0.57
32                      0.41
64                      0.40
128                     0.52
256                     0.67
512                     0.99
1024                    0.97
2048                    1.14
4096                    1.48
8192                    2.20
16384                   3.88
32768                   6.94
65536                  12.11
131072                 22.74
262144                 43.64
524288                 86.87
1048576               171.09

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.38
2                       0.46
4                       0.38
8                       0.37
16                      0.37
32                      0.43
64                      0.54
128                     0.51
256                     0.86
512                     1.00
1024                    0.92
2048                    1.10
4096                    1.38
8192                    2.11
16384                   3.60
32768                   6.29
65536                  10.62
131072                 20.63
262144                 39.95
524288                 79.08
1048576               159.53

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.35
2                       0.45
4                       0.35
8                       0.36
16                      0.36
32                      0.41
64                      0.41
128                     0.56
256                     0.88
512                     0.98
1024                    0.94
2048                    1.14
4096                    1.53
8192                    2.32
16384                   3.83
32768                   7.04
65536                  12.30
131072                 22.47
262144                 43.03
524288                 86.51
1048576               169.84

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.36
2                       0.42
4                       0.47
8                       0.35
16                      0.37
32                      0.39
64                      0.44
128                     0.52
256                     0.85
512                     0.99
1024                    0.98
2048                    1.18
4096                    1.40
8192                    2.24
16384                   3.92
32768                   6.99
65536                  12.48
131072                 22.79
262144                 43.84
524288                 86.43
1048576               169.32

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.36
2                       0.41
4                       0.38
8                       0.37
16                      0.39
32                      0.41
64                      0.40
128                     0.52
256                     0.83
512                     0.95
1024                    1.00
2048                    1.17
4096                    1.43
8192                    2.15
16384                   3.72
32768                   6.32
65536                  11.11
131072                 20.60
262144                 39.73
524288                 78.97
1048576               159.69

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.40
2                       0.51
4                       0.43
8                       0.42
16                      0.41
32                      0.42
64                      0.44
128                     0.57
256                     0.79
512                     0.97
1024                    0.96
2048                    1.14
4096                    1.40
8192                    2.15
16384                   3.69
32768                   6.30
65536                  11.06
131072                 20.63
262144                 39.78
524288                 78.97
1048576               159.32

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.36
2                       0.48
4                       0.34
8                       0.36
16                      0.45
32                      0.39
64                      0.39
128                     0.57
256                     0.77
512                     1.03
1024                    0.95
2048                    1.07
4096                    1.39
8192                    2.17
16384                   3.74
32768                   6.32
65536                  10.89
131072                 20.30
262144                 39.11
524288                 78.60
1048576               159.67

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.33
2                       0.48
4                       0.34
8                       0.34
16                      0.34
32                      0.50
64                      0.38
128                     0.57
256                     0.85
512                     0.99
1024                    0.99
2048                    1.22
4096                    1.53
8192                    2.19
16384                   3.73
32768                   6.44
65536                  11.25
131072                 20.67
262144                 40.11
524288                 79.29
1048576               159.94

