
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.44
2                       0.47
4                       0.38
8                       0.37
16                      0.35
32                      0.39
64                      0.47
128                     0.58
256                     0.69
512                     1.03
1024                    1.04
2048                    1.19
4096                    1.49
8192                    2.33
16384                   3.85
32768                   7.07
65536                  13.08
131072                 24.93
262144                 49.99
524288                 98.76
1048576               187.94

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.38
2                       0.47
4                       0.39
8                       0.40
16                      0.40
32                      0.44
64                      0.42
128                     0.52
256                     0.90
512                     0.98
1024                    0.90
2048                    1.14
4096                    1.48
8192                    2.12
16384                   3.45
32768                   6.91
65536                  12.53
131072                 24.19
262144                 47.76
524288                 93.10
1048576               181.00

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.40
2                       0.51
4                       0.40
8                       0.43
16                      0.40
32                      0.42
64                      0.44
128                     0.50
256                     0.69
512                     1.04
1024                    0.97
2048                    1.18
4096                    1.44
8192                    2.08
16384                   3.75
32768                   6.69
65536                  12.24
131072                 24.68
262144                 47.50
524288                 94.39
1048576               182.97

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.34
2                       0.45
4                       0.33
8                       0.40
16                      0.41
32                      0.41
64                      0.42
128                     0.52
256                     0.67
512                     0.99
1024                    0.97
2048                    1.23
4096                    1.48
8192                    2.36
16384                   3.96
32768                   6.96
65536                  13.11
131072                 25.27
262144                 49.45
524288                 99.74
1048576               189.72

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.33
2                       0.45
4                       0.32
8                       0.38
16                      0.37
32                      0.38
64                      0.36
128                     0.53
256                     0.64
512                     0.91
1024                    0.88
2048                    1.15
4096                    1.60
8192                    2.24
16384                   3.90
32768                   7.18
65536                  13.19
131072                 24.79
262144                 49.08
524288                 96.05
1048576               190.47

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.41
2                       0.50
4                       0.42
8                       0.40
16                      0.41
32                      0.41
64                      0.41
128                     0.58
256                     0.81
512                     0.92
1024                    1.00
2048                    1.19
4096                    1.42
8192                    2.08
16384                   3.48
32768                   6.59
65536                  12.39
131072                 23.95
262144                 48.05
524288                 91.78
1048576               172.91

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.43
2                       0.48
4                       0.40
8                       0.40
16                      0.43
32                      0.47
64                      0.43
128                     0.57
256                     0.82
512                     0.93
1024                    0.96
2048                    1.15
4096                    1.39
8192                    2.07
16384                   3.65
32768                   6.58
65536                  12.46
131072                 24.57
262144                 48.28
524288                 99.22
