
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.60
2                       0.61
4                       0.62
8                       0.63
16                      0.63
32                      0.61
64                      0.60
128                     0.61
256                     0.68
512                     0.89
1024                    0.88
2048                    1.08
4096                    1.84
8192                    2.10
16384                   3.53
32768                   6.56
65536                  12.36
131072                 23.57
262144                 47.59
524288                 94.14
1048576               180.20

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.81
2                       0.80
4                       0.83
8                       0.77
16                      0.78
32                      0.73
64                      0.77
128                     0.65
256                     0.71
512                     0.96
1024                    0.95
2048                    1.07
4096                    1.41
8192                    2.17
16384                   3.57
32768                   6.79
65536                  12.56
131072                 24.01
262144                 47.41
524288                 93.17
1048576               178.98

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.57
2                       0.66
4                       0.64
8                       0.60
16                      0.60
32                      0.59
64                      0.55
128                     0.61
256                     0.64
512                     0.77
1024                    0.95
2048                    1.09
4096                    1.37
8192                    2.13
16384                   3.43
32768                   6.53
65536                  12.48
131072                 24.06
262144                 46.99
524288                 92.48
1048576               178.81

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.76
2                       0.85
4                       0.79
8                       0.81
16                      0.86
32                      0.72
64                      0.70
128                     0.77
256                     0.77
512                     1.05
1024                    0.94
2048                    1.07
4096                    1.37
8192                    2.11
16384                   3.41
32768                   6.42
65536                  12.29
131072                 23.18
262144                 46.85
524288                 92.95
1048576               178.77

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.54
2                       0.63
4                       0.63
8                       0.67
16                      0.66
32                      0.57
64                      0.57
128                     0.63
256                     0.68
512                     0.87
1024                    0.91
2048                    1.09
4096                    1.38
8192                    2.11
16384                   3.47
32768                   6.75
65536                  12.32
131072                 23.70
262144                 46.62
524288                 92.65
1048576               178.25

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.57
2                       0.66
4                       0.63
8                       0.58
16                      0.59
32                      0.53
64                      0.56
128                     0.60
256                     0.65
512                     0.82
1024                    0.90
2048                    1.06
4096                    1.35
8192                    2.09
16384                   3.44
32768                   6.58
65536                  12.42
131072                 23.51
262144                 47.41
524288                 92.22
1048576               178.66

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.88
2                       0.90
4                       0.91
8                       0.88
16                      0.91
32                      0.93
64                      0.95
128                     0.66
256                     0.74
512                     0.81
1024                    0.94
2048                    1.08
4096                    1.35
8192                    2.09
16384                   3.58
32768                   6.42
65536                  11.88
131072                 22.77
262144                 46.16
524288                 93.68
1048576               177.13

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.60
2                       0.59
4                       0.58
8                       0.58
16                      0.59
32                      0.60
64                      0.59
128                     0.61
256                     0.65
512                     0.84
1024                    0.96
2048                    1.09
4096                    1.38
8192                    2.04
16384                   3.56
32768                   6.35
65536                  12.10
131072                 23.77
262144                 47.96
524288                 92.91
1048576               181.20

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.55
2                       0.57
4                       0.56
8                       0.55
16                      0.59
32                      0.60
64                      0.56
128                     0.62
256                     0.63
512                     0.76
1024                    0.89
2048                    1.05
4096                    1.35
8192                    2.13
16384                   3.72
32768                   6.64
65536                  12.44
131072                 24.24
262144                 46.84
524288                 92.37
1048576               178.50

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.61
2                       0.60
4                       0.61
8                       0.64
16                      0.62
32                      0.61
64                      0.60
128                     0.62
256                     0.66
512                     1.01
1024                    0.89
2048                    1.04
4096                    1.34
8192                    2.14
16384                   3.47
32768                   6.49
65536                  12.34
131072                 23.45
262144                 46.19
524288                 90.32
1048576               177.85

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.73
2                       0.70
4                       0.71
8                       0.66
16                      0.69
32                      0.74
64                      0.81
128                     0.61
256                     0.64
512                     0.74
1024                    0.86
2048                    1.04
4096                    1.35
8192                    2.06
16384                   3.43
32768                   6.48
65536                  11.96
131072                 23.53
262144                 48.19
524288                 92.80
1048576               176.03

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.63
2                       0.69
4                       0.69
8                       0.70
16                      0.69
32                      0.62
64                      0.59
128                     0.63
256                     0.65
512                     0.80
1024                    0.90
2048                    1.07
4096                    1.34
8192                    2.19
16384                   3.57
32768                   6.82
65536                  12.72
131072                 23.85
262144                 48.08
524288                 93.04
1048576               179.62

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.57
2                       0.60
4                       0.60
8                       0.59
16                      0.62
32                      0.57
64                      0.59
128                     0.63
256                     0.62
512                     0.86
1024                    0.87
2048                    1.00
4096                    1.34
8192                    2.03
16384                   3.42
32768                   6.45
65536                  12.34
131072                 22.78
262144                 45.56
524288                 89.49
1048576               178.08

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.56
2                       0.55
4                       0.60
8                       0.56
16                      0.56
32                      0.55
64                      0.55
128                     0.59
256                     0.65
512                     0.99
1024                    0.89
2048                    1.07
4096                    1.33
8192                    2.07
16384                   3.44
32768                   6.63
65536                  12.27
131072                 23.29
262144                 45.23
524288                 89.81
