
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.89
2                       0.93
4                       0.86
8                       0.79
16                      0.88
32                      0.65
64                      0.66
128                     0.85
256                     0.90
512                     1.04
1024                    1.16
2048                    1.27
4096                    1.44
8192                    2.19
16384                   3.39
32768                   5.80
65536                  10.32
131072                 20.24
262144                 39.36
524288                 79.00
1048576               159.09

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.66
2                       0.68
4                       0.65
8                       0.70
16                      0.68
32                      0.64
64                      0.63
128                     0.69
256                     0.71
512                     1.09
1024                    1.13
2048                    1.34
4096                    1.49
8192                    2.18
16384                   3.26
32768                   5.73
65536                  10.28
131072                 20.16
262144                 39.13
524288                 78.12
1048576               159.13

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.66
2                       0.70
4                       0.65
8                       0.70
16                      0.70
32                      0.64
64                      0.64
128                     0.70
256                     0.76
512                     1.06
1024                    1.23
2048                    1.42
4096                    1.58
8192                    2.27
16384                   3.72
32768                   6.53
65536                  11.76
131072                 22.09
262144                 43.09
524288                 86.08
1048576               164.53

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.70
2                       0.72
4                       0.71
8                       0.71
16                      0.72
32                      0.64
64                      0.64
128                     0.82
256                     0.78
512                     1.25
1024                    1.19
2048                    1.34
4096                    1.47
8192                    2.22
16384                   3.23
32768                   5.76
65536                  10.31
131072                 19.64
262144                 38.57
524288                 77.48
1048576               157.92

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.65
2                       0.65
4                       0.65
8                       0.65
16                      0.65
32                      0.68
64                      0.65
128                     0.70
256                     0.74
512                     1.14
1024                    1.16
2048                    1.35
4096                    1.54
8192                    2.26
16384                   3.24
32768                   5.94
65536                  10.50
131072                 20.22
262144                 39.11
524288                 78.27
1048576               158.42

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.62
2                       0.62
4                       0.63
8                       0.61
16                      0.63
32                      0.63
64                      0.63
128                     0.95
256                     0.71
512                     1.17
1024                    1.15
2048                    1.32
4096                    1.47
8192                    2.18
